"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_Cong","b_Sem","b_Acc","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC"
"asc_ruta2",-28.796978439446,2.23290754622851,16.4117262937714,-18.1641899454828,15.4784130869865,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12,-1.83748607158787e-12
"asc_ruta3",2.23290754622851,-16.6782494128944,8.93711279641975,38.2274127768109,11.0085257179421,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12,-1.74247761097986e-12
"asc_rutaEC",16.4117262937714,8.93711279641975,-66.3414080283036,219.123046633466,-47.5288603827524,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13,3.07030488625965e-13
"b_tt",-18.1641899454828,38.2274127768109,219.123046633466,-8981.49472176669,-1049.33648472537,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11,-3.28065526170797e-11
"b_dt",15.4784130869865,11.0085257179421,-47.5288603827524,-1049.33648472537,-589.818049866543,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13,-4.47241846735808e-13
"b_Cong",-1.83748607158787e-12,-1.74247761097986e-12,3.07030488625965e-13,-3.28065526170797e-11,-4.47241846735808e-13,0,0,0,4.37285052211412,-15.039484630973,-3.26334789809664,-7.26148527573135,-1.12999533618117,2.37624617896727,7.71150525120722,-4.32515188400411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_Sem",-1.83748607158787e-12,-1.74247761097986e-12,3.07030488625965e-13,-3.28065526170797e-11,-4.47241846735808e-13,0,0,0,0,0,0,0,0,0,0,0,7.43198778229906,-2.02643444001097,-0.632321174750345,-4.74133666354552,-1.19915872495786,0.658837296284766,2.59828625145673,-1.15319816611096,-10.2150806904278,9.07283758449543,0.63559535166661,-8.92468894187279,2.43712379030257,-3.58777470155891,-0.449612399139879,9.12445576581396,0,0,0,0,0,0,0,0
"b_Acc",-1.83748607158787e-12,-1.74247761097986e-12,3.07030488625965e-13,-3.28065526170797e-11,-4.47241846735808e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61481470142846,-2.18391912995978,3.94765304507474,9.44669911631242,-3.34334231411049,5.68078614676817,-1.29115913270454,-9.50761584434115
"b_CongAB_ruta1",-1.83748607158787e-12,-1.74247761097986e-12,3.07030488625965e-13,-3.28065526170797e-11,-4.47241846735808e-13,4.37285052211412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_CongCD_ruta1",-1.83748607158787e-12,-1.74247761097986e-12,3.07030488625965e-13,-3.28065526170797e-11,-4.47241846735808e-13,-15.039484630973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
