"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt_ruta1","b_tt_ruta2","b_tt_ruta3","b_tt_rutaEC","b_dt_ruta1","b_dt_ruta2","b_dt_ruta3","b_dt_rutaEC","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC"
"asc_ruta2",10.8840632497002,-3.68741213955023,1.49830016367573,-0.0171238804591593,0.0105176041012733,-0.064974926295235,0.025428536045233,-0.0786936682298968,0.0134109493609842,-0.401153551523403,-0.504543364164525,-0.0262334268233628,-0.0581285302960228,0.437010976720655,0.0787173888161242,-0.309507651454096,-0.114459984902531,-0.0738374019299083,-0.0670963522455667,-0.0154519737691362,3.72380270277786,-1.07835674848889,0.247119941372037,0.0656991703516024,4.48562291030213,-0.637103237287315,0.219966314772787,0.0541074792508614,4.29320796052342,-0.829162781614482,0.271280204431495,-0.114138787999021,3.77071901012896,-0.466922143408459,0.241217217384352,1.2693125934913,3.25395941672835,1.28428535715738,2.36064517447862,1.29900946135167,3.26571977507868,1.36082545089343,2.43127763813454
"asc_ruta3",-3.6874282434372,7.54167782747366,-4.51895497810404,-0.00133395723638383,-0.0156482604526235,0.0692950360012853,-0.0175055958632031,-0.0383773310386231,-0.0181999340342582,0.0583917814945122,-0.0416838674551996,0.031627230614378,0.0219103323593212,-0.0459423820642881,-0.0208749735116435,0.211073325351539,0.0139801158619684,0.0676741512529801,0.0940466351290357,-0.143868408482662,-0.553545461580176,0.903875880074019,-0.0445335525816725,-0.171203402105034,-0.665882506863296,1.03686098854559,-0.0167569020065869,-0.129035154571336,-0.586966168381792,0.844109913983158,-0.019970419894048,-0.166649759029349,-0.566577211509187,1.1350468890655,-0.0112554810840971,-2.41401511054937,-5.15760875505315,-2.31636572826011,-5.55173455540576,-2.24200466709364,-5.195519024917,-1.75663431950922,-5.4546304699545
"asc_rutaEC",1.49829114042553,-4.51894789438107,4.44798835474833,-0.0326940741262911,0.000967996249690389,-0.0754266036214439,0.0335697991946767,0.0703849806601375,0.0138084005858455,0.0925433563683667,0.212907698766606,-0.0748789433196471,-0.0298229323270733,-0.0555609168636699,0.0405526096904935,-0.183595972963326,0.0829185612467954,-0.0623407600913062,-0.0499115512262489,-0.326399133713975,-0.279375865519258,-0.344623387177962,0.0471744500746421,-0.20587137151025,-0.211381004535858,-0.314590284721158,0.023917901285104,-0.17788210528697,-0.18581808329731,-0.218436237290946,0.0472395630380477,-0.195138948649094,-0.154051490061306,-0.365428191872182,0.0567125067734516,2.72246858458199,3.81555628455802,1.79443545604109,4.36086447430999,2.7861916354477,3.83769880652242,1.49768318422947,4.3758906006808
"b_tt_ruta1",-0.0171238804481543,-0.00133395718697064,-0.0326940741404325,0.0030913422710916,0.00109149804386553,0.00193121279237274,-0.00144811552433892,-0.00356274704610779,-0.0010499755782536,-0.00591005451775139,-0.00664119307911419,0.00350548544519286,0.00164056203664476,0.00245903996790634,-0.000609123450714833,0.00541792063035986,0.00131793589856783,0.00265897319685747,0.000593955462616838,0.00976735941212711,0.0128367735536747,0.000371660668323909,0.000916755995308048,0.00645192964384025,0.0117270087535077,-0.0012799541362871,0.000608838127404658,0.00445564278530406,0.00929309240526677,-0.000323480475132213,-0.00035572559968827,0.00498815624994549,0.00459727802438754,-0.0026621128784937,0.000402966310754914,-0.0276629441505247,-0.0308591456357928,-0.0118676559875472,-0.0183132933263163,-0.0274909713955128,-0.0316699497978664,-0.0166738530926722,-0.0205463313585374
"b_tt_ruta2",0.0105176041014458,-0.0156482604222585,0.000967996238003863,0.00109149804386558,0.00120273246682153,-0.000256164782344114,0.000426601101531227,-0.00104806266323543,-0.000739483862225143,-0.00165138020166399,-0.00240548227529422,-2.27997365199468e-05,-0.00062286242674939,0.00346307013853867,0.00112663654116676,-4.54308944758512e-05,0.000295384745541714,0.00176919982895936,0.000352099250535226,0.000495671477888289,0.000277070056968916,-0.00166898723856729,0.00084008780901739,0.000334786584873656,-0.00159559593932009,-0.00278256676105633,-0.000484222798788024,0.000304965901453976,-0.00290614879411159,-0.00148614706077429,-0.000680316985660424,0.000492016779468235,-0.00347896495081894,-0.00354974538114461,-0.00107084935076445,0.00242211564951186,0.00221077476928717,-0.00224777068712238,-0.000558485084110802,0.00181216153645779,0.0022334237043068,-0.00448868079497625,-0.00150769222475361
"b_tt_ruta3",-0.0649749262861017,0.069295035987456,-0.0754266036189299,0.00193121279237268,-0.000256164782344114,0.00547894008189468,-0.00201255247838593,-0.00366669302196646,-0.000436051298901307,-0.00657879110513142,-0.00699486812023025,0.00404202701366514,0.00235632758241507,-0.00243622522754558,-0.00309423037157355,0.0121439502374971,0.00318502815259555,0.00493783658118024,0.00354277448074017,0.0125698381690945,0.0082236274133248,0.00595926282775396,-0.00133588155884384,0.00745830253757993,0.00711369227997008,0.00325621417012976,-0.000155739381774969,0.00543669154197075,0.00467630274878822,0.00228378046741857,-0.00158582028783923,0.00498926494778544,-0.000821434918559451,-0.00113984058573981,-0.000181414043327339,-0.0494234172004308,-0.0783032551384007,-0.0328938704566084,-0.0654401568224826,-0.0469701169303039,-0.0800519019340981,-0.038623353402568,-0.0684617591254341
"b_tt_rutaEC",0.0254285360253013,-0.0175055958837019,0.0335697991899391,-0.00144811552433892,0.000426601101531236,-0.00201255247838593,0.00206381162137207,0.00179831078602056,-5.36405010467088e-05,0.00330306048153528,0.00305403287313084,-0.00283373592458286,-0.00199237152794104,0.00251402258203668,0.00190419974073968,-0.00433490051202315,-0.000118049917413151,-3.79958094255971e-05,-4.54771991401386e-05,-0.00851896560189161,-0.00948540300864443,-0.001976318341594,0.0010041399218035,-0.00554163208823877,-0.00947265304257579,-0.00253173063727803,-0.000642646849120076,-0.00403877258615253,-0.00917582277484854,-0.002419834868888,-0.000119184658360254,-0.0044144008343727,-0.00549113101837604,-0.00190483521277372,-0.00103187500318529,0.0303981920286488,0.0284603812824303,0.00857889203671182,0.0168607233139369,0.0309653798687017,0.0296421040540029,0.00988327361905078,0.0181863267968677
"b_dt_ruta1",-0.0786936682554854,-0.0383773310850261,0.0703849806714833,-0.00356274704610774,-0.00104806266323538,-0.00366669302196654,0.00179831078602051,0.0158908871618561,0.00410116273116983,0.0339884344692008,0.0443048667145607,-0.00493726133928311,-0.00323644844821029,-0.0228886556840768,0.00328042144360079,0.000816066995349135,-0.00233281145935213,3.1889777865025e-05,0.000569363010300316,-0.00597477474636691,-0.0215529650187733,-0.0185733492121863,0.00365383473063528,-0.000893366607161795,-0.0229599066525641,-0.0105546743196515,0.00243700657961966,-4.77781399590844e-05,-0.0130070513435201,-0.00435748983728167,0.004853124660477,-0.00135863635863818,0.0123677754302828,-0.00593518454335228,2.05571525306822e-05,0.0160016847819669,0.0453255601614142,0.0134520977798638,0.0321506766279719,0.00881251274425844,0.0541305835886752,0.016463996555026,0.0359682150631616
"b_dt_ruta2",0.0134109493577182,-0.0181999340564468,0.0138084005970535,-0.00104997557825355,-0.000739483862225106,-0.000436051298901338,-5.36405010467453e-05,0.00410116273116977,0.00382212985903702,0.00312570210814036,0.00581000753032294,-0.000544762385380377,-0.000625588018882556,-0.00444044023658765,-0.00116698486985609,0.00215196814361845,-0.00210419106351434,-0.000144653996215759,0.000530208024434442,0.000482851673832414,0.0109891162362457,-0.00855622048769555,0.00125232231696494,0.00150205944040943,0.0112237806066633,-0.00384044719061993,0.00140700174917912,0.00195148159103677,0.0110700292311676,-0.00122981546560245,0.00267447833026773,0.0021569632106318,0.0119687804787994,-0.00169520298226144,0.00137114241511444,0.00226097362291062,0.000342376529012117,-0.00289515151811904,0.00384888483501785,0.00137853111920128,-0.000315823835095795,-0.00302314964272646,0.00468220923369857
"b_dt_ruta3",-0.401153551580787,0.058391781438569,0.0925433563672116,-0.00591005451775134,-0.00165138020166392,-0.00657879110513141,0.00330306048153521,0.0339884344692008,0.00312570210814046,0.104926567668372,0.119623243970743,-0.00875276321429351,-0.00512028962430908,-0.0611780989930248,0.011924552495272,0.0124955283237138,-0.00642704037233671,0.00434647891285054,0.00375060765816402,-0.0168193931129506,-0.104567493734468,-0.0600964884024056,0.00556151090111931,-0.00690440560280508,-0.10986621224791,-0.03682367503307,0.000141218433882203,-0.00599596300173678,-0.0800817512862681,-0.0262696698478702,0.0044500635996558,-0.00675399030814393,-0.0038463283080252,-0.0368203503270548,-0.00787313286696108,-0.00680839382440439,0.0120238487502016,-0.00145795227839241,-0.0176826941378232,-0.0149327129439451,0.0404871942498482,0.0124059873772058,-0.00808739416239767
