"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.845243314854254,0.517599221607053,0.211461198454696,0.564608027564248,0.221609565769753,-0.0739585461040059,0.0096873677366475,-0.0638191438255315,0.0465627534641967,-0.0500792345395865,-0.0360486578536151,-0.00374299475547749,0.0474974761828989,-0.0556693476155906,0.0543739877503728,-0.109958599134961,-0.00198188429601113,-0.00792258954286475,0.00577823459784174,-0.00387887392685426,0.00441878814740026,0.00422184554852034,-0.00476562951143312,-0.00718322181602146,-0.00762978870892206,-0.00505142987038405,-0.00107845774409162,-0.00199600967515348,0.00587810002298438,0.020759761960014,0.0113039743591709,-0.0161724976485108,0.000109770210050209,-0.00414673410436351,-0.00541084688168459,-0.00285811180168043,-0.00413066403147279,-0.00228572624077372,-0.00141516168638816,0.00558592374745646,0.0194239287414654,-0.00714832199905536,-0.00451506649572833,-0.00403850480388737,-0.00416799034811238,-0.00452892828693206,-0.00441698650443212,-0.00431665972032188,-0.00452040740133965,-0.0048523438418427,-0.00500834912902654,-0.00378555307424288,-0.00368638303686878,-0.00357766635192626,-0.00480779858008797,-0.00469680647626645,-0.00445522480444833,-0.00377300754905547,-0.0105198978673302,-0.00776883177185694,-0.00704035314701488,-0.00570155597532635,-0.0104453632214253,-0.00361534524541014,-0.0033164668442859,-0.00282814889509249,0.000407071464554006,0.00166052678633802,0.00282622480030598,0.00462612049378251,-0.0149801305961128,-0.0140288069335062,-0.0131227125738676,-0.00130418951402823,-0.00351361401657001,-0.00433183957231722,-0.00439124129670638,-0.00473003900104246
"asc_ruta2",0.845243314854254,1,0.496727404052139,0.0792127317092995,0.490078148202382,0.155212759482269,-0.0320848281576555,0.02409885463553,-0.0108029995632316,0.0386826664141046,-0.0293819790268529,0.0240844230312402,-0.00679143373686635,0.0377671404545796,-0.0556674368590338,0.0548141816503755,-0.0991044015974982,-0.00209616365288073,-0.00691001483842792,0.00277810137329611,-0.00476260858862877,0.00405142410368643,0.00460635320883222,-0.00418011920695012,-0.00624920359184087,-0.00664819355319675,-0.00374937487125108,0.000338642809134925,-0.00274458155916871,0.00415184782570167,0.0159561126104347,0.00772172652000253,-0.0144268614888446,-0.00160196634197609,-0.00383667956105223,-0.0050657866911666,-0.00250570961557578,-0.00335970860791586,-0.0016047636646559,-0.00133625371777749,0.00405333016832115,0.0167357841477869,-0.00644263428889325,-0.00465544625960616,-0.00436208997510052,-0.0044757786171079,-0.00452382885590593,-0.0045425223481496,-0.00459415489666456,-0.00476427997081372,-0.00493427695074227,-0.0051630990248602,-0.00407031515121266,-0.00396110158182188,-0.00348262894857558,-0.00512218859451281,-0.00494734678076149,-0.00466441555347617,-0.00379193576669044,-0.0086042151033997,-0.00619498554788509,-0.00558557856092792,-0.00449499015972738,-0.00852036665050989,-0.00318160437087625,-0.00296597987988499,-0.00251123050816295,-0.000548783831186456,0.000134163754530336,0.000902203116522215,0.0023080826383512,-0.0141368605325888,-0.0134655379516297,-0.0128626809224845,-0.00338697744986602,-0.00378768206476722,-0.00455734870136999,-0.00458627153924272,-0.00478043658327917
"asc_ruta4",0.517599221607053,0.496727404052139,1,-0.0877187497099978,0.357991914791805,0.131977195811878,0.00920122438992112,0.00883891014477567,-0.124890650501301,0.035229409262611,-0.0417556281873959,-0.0035049945747729,-0.377629087310578,-0.560143353754825,0.172526855986512,-0.0919172486397756,0.278185959361958,-0.103183766501979,-0.0823602337952445,-0.0404002405703676,-0.0959790211150884,-0.0368451125998543,0.0157315099922718,-0.0115987821549763,0.0259565764834943,0.0051148364448248,0.0408107881956101,0.0102729885257073,-0.00602883051142368,-0.0905803663866808,-0.0291357899991419,-0.0211599654358441,0.00508364397658285,-0.0415786294496516,-0.0241582937185438,0.000797598242205489,-0.0152638008145906,-0.00782713947839546,-0.00115516825443375,-0.0130635634336842,0.036391716880468,-0.0869372953151186,0.000430483577992267,-0.0857784662098471,-0.100871714237502,-0.0997407321942446,-0.0835425270711128,-0.0981612683732348,-0.0951100910272871,-0.0903202754155373,-0.0749415999872825,-0.0890525792259645,-0.0967372761205179,-0.0948659144437712,-0.0749753892562461,-0.0857215337495317,-0.0962073663411132,-0.0960940941462664,-0.0790661680582511,0.0190526434420255,0.0133109956400918,0.0114006567349306,0.00928174977750181,0.0220122639030745,-0.00757631989038208,-0.00846568476857103,-0.00968528457316011,-0.0866093887200875,-0.0960188795817987,-0.097353987292706,-0.0775466662495323,0.0458245379451646,0.0335321438577498,0.0208175736889131,-0.0650272900988271,-0.0958675363849128,-0.0963665394694392,-0.0940348787045003,-0.0811399019559867
"b_tt",0.211461198454696,0.0792127317092995,-0.0877187497099978,1,-0.126064352598831,-0.0670546595602691,-0.0771064314721981,0.02831445725101,-0.0869210632498417,0.0290848623988226,-0.0920369041504339,-0.070894561718668,-0.0219620178458317,0.0946772993796815,-0.0131350545932512,0.00987691908150849,-0.115277475112669,-0.00373889863313291,-0.00895006661040697,0.0159693045622405,0.000970050633492762,0.00508732484204003,-0.00126324736427959,-0.00171047725033408,-0.00683423359501978,-0.0121266412376302,-0.00707556391427774,0.00508468256701215,0.00865815515161659,0.00915150251041611,0.0209164080886403,0.0121973762443271,-0.0121581039987777,0.00804919274206698,-0.00125447547341369,-0.000898457031889662,-0.00101648154523236,-0.00179575534144876,-0.00129677561725021,-0.00102063939977986,0.0023852194168871,0.0167814990347416,-0.00274175479858643,0.00161467289657728,0.00251303866209839,0.00245880645647029,-0.000336845924399573,0.00124236389390673,0.00237329420501314,0.00214673481828469,0.000596599705447985,0.00150457244179886,0.00262026907154142,0.00266750707083846,-0.000640148359572037,0.00109055860152906,0.00173520510766526,0.0018131558675719,0.000988293382345415,-0.00439481678394131,-0.00268781635178008,-0.00248042216847036,-0.0016015194057374,-0.00435841812761319,-0.00148170228370058,-0.00117288131326523,-0.000923890404574803,0.00646905708939636,0.00776130409380135,0.00822460348650868,0.0079096270843687,-0.010083601383534,-0.00847498705559787,-0.00678086434693068,0.00542597570382202,0.00191344838935812,0.00205724814669572,0.00198643026880129,0.00117537139076403
"b_dt",0.564608027564248,0.490078148202382,0.357991914791805,-0.126064352598831,1,0.255833158460351,-0.0596373931476032,-0.011073841655749,-0.0383796878546852,0.0401025332631491,-0.0643242347382183,-0.101333245820507,-0.0176453205734994,0.0303403017206305,-0.117309867750712,0.110061684404618,-0.143560730377386,-0.00127099746801748,-0.00901174738020915,0.00321737119183626,-0.0108366247538198,0.00595815942021238,0.00876986003676402,-0.0110057808761704,-0.00854442236920969,-0.00663611715280732,-0.00413778892448884,-0.00273337339179296,-0.00909593054949668,0.00602368825575954,0.022404794157334,0.0155873285842486,-0.0178573195675109,-0.0038348881204299,-0.00669023410817393,-0.00945224907693087,-0.00320726845148577,-0.00614505398939272,-0.00303338083797412,-0.000244906071369333,0.00462077614458632,0.0282484717227486,-0.0121559211970556,-0.0090030798726394,-0.0088136587551389,-0.00905470389674426,-0.00790254830724473,-0.00855201840872247,-0.00928567514915366,-0.00958528703249706,-0.00925242652518426,-0.0103908599198847,-0.00805929046426053,-0.00780765403156759,-0.00508149455777903,-0.00956762045217774,-0.00959296861002771,-0.00915488703323778,-0.00735848522542562,-0.0159883371414755,-0.0120036710684573,-0.0109665515543042,-0.00929421436021057,-0.0166719182006064,-0.003851508609743,-0.00355972593955422,-0.00299993297680839,0.000637873252244177,0.00192349765889522,0.00328799739608422,0.00466941900768719,-0.0240769101882116,-0.0229848900318963,-0.021920428728123,-0.00509371216703025,-0.00708193425284862,-0.00910015048823537,-0.00922081935968972,-0.00948470941683284
"b_Sem",0.221609565769753,0.155212759482269,0.131977195811878,-0.0670546595602691,0.255833158460351,1,-0.0725026543330652,0.0190511828628754,-0.0626565831185317,-0.0410767339652815,-0.0460597350851134,-0.106179224234034,0.00265559700049112,-0.0270946305413116,0.0552219818418902,-0.0339638932384,0.0226717523044465,-0.000397088497717182,0.000603844015415753,-0.00636871726490662,-0.0019744091609912,-0.00324646801859251,-0.00425114858685805,-0.00247431954542133,-0.000952206516787672,0.0011317579969228,-0.001608134454692,-0.00579249113039678,-0.00485288269481508,0.00151872793547922,0.0102746470950358,-0.00347657803167751,-0.0100974507042293,-0.00116474354645341,0.000417729317631637,0.00136353017838318,-0.00109133527520407,-0.000221566797717087,-0.00378631011131108,0.000350273929953804,0.0047917879154631,-0.000104174009332615,0.00263166595795318,-0.00784705600844116,-0.00813793085711738,-0.00797241836596571,-0.00570784279556985,-0.00812619926643682,-0.0079491661520541,-0.0074850357647621,-0.00590324516931312,-0.00709782811741524,-0.00841694618986006,-0.00841866387615099,-0.00652410391952698,-0.00609949666978788,-0.00757544478140993,-0.00783393574212814,-0.00670046467818367,-0.00835362788539915,-0.0075801422845134,-0.00693726956191361,-0.00580224250741361,-0.00868126265965887,-0.00149609945273216,-0.00121061630049211,-0.000518993396084633,-0.00230923842049604,-0.00197020839484052,-0.00128518306466345,-8.13185771175457e-05,0.00288422122771566,0.0014532841261981,0.000698121027198171,0.000307396277712606,-0.00837361137624827,-0.00788151794081715,-0.00765301582280841,-0.00656003955789689
"b_ACC_1",-0.0739585461040059,-0.0320848281576555,0.00920122438992112,-0.0771064314721981,-0.0596373931476032,-0.0725026543330652,1,0.12162033140069,-0.0511708972138294,-0.0456354798206443,-0.0123929113822073,0.0443678330602748,-0.0229135785918561,-0.0847137957728056,-0.00659673515483018,0.0453849714986487,-0.00417707191813264,-0.00137326354733813,-0.000271977094455968,-0.00285836086706503,0.00267187576463187,0.00114481760563128,-0.00265404370980404,-0.000696818748118413,-0.00399633193650585,-0.00655770641662119,-0.00697511100383094,-0.00232171849247418,-0.00146722764571795,-0.000833781600444518,-0.000127008201344993,0.00755166558445099,-0.00399711492362936,0.0091437919121447,0.00124442987683819,0.00217555494402393,0.0015300352436513,0.00120848886020923,-0.0025116062132879,0.00353429285760787,0.000367986229399686,0.00493365392568864,0.00196269288040322,-0.00314665140608337,-0.00331565676883519,-0.00317950532229868,-0.00215616455751098,-0.0034547255493057,-0.00324340841543782,-0.00300038810886679,-0.00220378409906295,-0.00317725388601727,-0.00320077613680064,-0.00308237900594839,-0.00169097031189812,-0.00248845625208047,-0.00305722410353973,-0.00320246912919013,-0.00275334135592097,-0.00687002402568787,-0.00573326369655455,-0.00543672573731738,-0.00505452725463391,-0.00768441945114195,0.00222610724925908,0.00247814751601646,0.00229326614235388,0.003237564662726,0.00347095125533931,0.003485993910987,0.0037779878486717,-0.00205303523875309,-0.000994845928616913,-0.000610788888351662,0.00333323465014099,-0.00330031367729927,-0.00326911126214439,-0.00321731149734648,-0.00271239909748869
"b_ACC_2",0.0096873677366475,0.02409885463553,0.00883891014477567,0.02831445725101,-0.011073841655749,0.0190511828628754,0.12162033140069,1,-0.00784630149456271,0.0393762015606145,-0.00227708089709268,-0.023471241785592,-0.0263121562475326,-0.0101376402158877,-0.0245180809806044,0.0458227712276519,-0.0513780254201938,-0.00468858869621315,-0.00386488037121341,0.00316266553621636,-0.00580696398472025,0.000125615280461928,-0.00264133572030087,-0.00413277135811582,-0.00431575319252271,-0.00320319500393898,-0.00979294463322404,0.000150670808254624,-0.00187244579476284,-0.00146343395722647,0.00210087780286152,0.00611835593196946,-0.00068041064881411,-0.00202507891709871,0.000791790786413872,0.000848526295184317,0.00219039743421501,0.00126575535186637,-0.00455763063380564,0.00920541304264109,-0.00547035834879845,0.00859806120977054,0.00092065726399039,-0.00685916190257145,-0.00711556509125976,-0.00705628246442117,-0.00557429084522639,-0.00691778105473922,-0.0072498449356825,-0.00715596426194356,-0.00627094808048599,-0.00737038711385774,-0.00674141977053828,-0.00656922689634935,-0.00430353022157519,-0.0064896751699385,-0.00712251312763997,-0.00708797887450325,-0.00599287509976146,-0.00587665664522612,-0.00740373418540514,-0.00739174370396505,-0.00699363915376303,-0.0100834278291707,0.00742364691155796,0.0076312589093495,0.00782272961311679,0.00450473124040013,0.00401687667679676,0.00345172009543271,0.000676891061906023,-0.00871132151087602,-0.00805988426149537,-0.00750253535937037,-0.00212374939140298,-0.00678067151602239,-0.00709641765278536,-0.00702983540921968,-0.00645635889611028
"b_SI_CAMFD",-0.0638191438255315,-0.0108029995632316,-0.124890650501301,-0.0869210632498417,-0.0383796878546852,-0.0626565831185317,-0.0511708972138294,-0.00784630149456271,1,-0.0677790197993991,0.110447249242318,0.0825649625550201,0.0489237338144125,0.128802452259907,-0.0576664338818694,0.0273473034615862,-0.123156117759107,0.00106589010433831,0.00289495678943146,0.00428203647515371,-0.00229995264564624,0.0084330269120121,-0.000222318799726574,-0.0035525422992187,-0.0040090505435649,-0.0047476743280019,-0.00102601413354067,0.00970349570802652,-0.00357802861420629,-0.00120173572178171,0.0108494967757561,-0.00769432503181386,-0.0196869463163914,0.00423834708620624,0.00152086732449509,-0.00144889555548508,0.00405776546434889,0.00149242790554604,0.00019796706709379,-0.00185533012807437,-0.00387255938219051,0.0194794476787822,-0.00381333369156376,0.000624803518890123,0.00244164541622445,0.00229960339374258,0.00185195502321652,0.00200966061265897,0.00175883907769819,0.00128949057604897,0.000303884582446277,-0.000360363002352682,0.00306559051909558,0.00328347430710031,0.00374264510979324,0.000322097585302785,0.0014216527346005,0.00179471675960449,0.00175847983319932,-0.00290756262218132,-0.00144662389042513,-0.00131799320312822,-0.000829898740975797,-0.00233283207556945,-0.00245934666176653,-0.00232724060092141,-0.00216893278105238,0.000525001157702416,-0.00125952671957443,-0.00313299502917438,-0.00692640584015123,-0.0209684283751276,-0.0226270035465261,-0.0223748386127259,-0.0134651066422609,0.00308637617305601,0.00185264066920281,0.00158801584676721,0.00039022001363566
"b_SI_PANEL",0.0465627534641967,0.0386826664141046,0.035229409262611,0.0290848623988226,0.0401025332631491,-0.0410767339652815,-0.0456354798206443,0.0393762015606145,-0.0677790197993991,1,0.0165982056041406,-0.0736561152893325,0.0942112983970741,-0.0090357875067397,0.000952722650024024,0.00948619577019621,0.0122439904861858,-0.00310313501123944,-0.00511413738388226,-0.000369961723215389,0.00206517737968122,-0.00345093829685432,0.0019262151857917,0.00181583142652977,0.00264505567426034,0.00111560437127714,-0.00462619164558122,-0.00452295352466073,0.000668094784173808,-0.000866649367797005,0.00061529420220177,0.003862821310595,0.00544914346084745,-0.00533318298741485,-0.00140848425740356,-0.000951212445782928,-0.000147009688897729,-0.00104604539206787,-0.00324333612645703,0.00645906407942664,-0.00245005802408427,0.00127014207127934,-3.04464165709659e-05,-0.000359959675717321,-0.000927422386035276,-0.00112156637215737,-0.00177723685545141,-0.000598385740652177,-0.00093348617229807,-0.00105165377036682,-0.00125622387965191,-0.00097197099736541,-0.000792177270267648,-0.000864643413266439,-0.00104373911856277,-0.000742596550045185,-0.000752686115757723,-0.000848637905605867,-0.00107700285367571,0.00287200585132278,-0.0012451783293792,-0.00171530967694232,-0.00232617435240012,0.00019406287745985,0.00680463296257136,0.00671236571428231,0.00640780435469841,0.00302548965940548,0.00209091738339848,0.00144321441886774,0.000501276328961033,0.000306901778371076,0.000154752701496053,-0.000223667802156827,-0.000605700399559023,-0.00113396725342416,-0.000799280739490077,-0.000857674965633526,-0.00101929877999475
