"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.844413788153556,0.555175969177209,0.177425191833473,0.558117189954976,0.222940752487862,-0.0749507985510867,0.0196676314795273,-0.041196534420005,0.0430291859977347,-0.0428235784965655,-0.0314731361978263,0.0173406650112726,0.0231783271371931
"asc_ruta2",0.844413788153556,1,0.540207625717805,0.0589577514968841,0.476064633712812,0.160038195534561,-0.0285237875624405,0.0279577524682278,-0.013120313820622,0.0326465169633245,-0.0315449433729192,0.0221911997895627,0.00972279312978989,0.0132670414056067
"asc_ruta4",0.555175969177209,0.540207625717805,1,-0.0423751297258808,0.391144884366818,0.0842064961290867,0.00968885035932881,0.0105141225212935,0.437146686666924,-0.00504980974406144,-0.0229733794482102,-0.0462777589606159,-0.438534849651889,-0.456746228781464
"b_tt",0.177425191833473,0.0589577514968841,-0.0423751297258808,1,-0.159932350461616,-0.0673397599003057,-0.0800582447238433,0.0299987588187695,0.0224158886803406,0.0307001248293703,-0.0744459791670487,-0.0550847390237442,-0.0201571599622881,0.0620785319212623
"b_dt",0.558117189954976,0.476064633712812,0.391144884366818,-0.159932350461616,1,0.266195275382668,-0.0560094718251089,-0.00611268698050021,-0.0726550417376828,0.0370199649127841,-0.0719746442316857,-0.10796524308198,0.0216321704721358,-0.0029654524405424
"b_Sem",0.222940752487862,0.160038195534561,0.0842064961290867,-0.0673397599003057,0.266195275382668,1,-0.0743945321330044,0.0248993718574224,-0.0478945080228607,-0.0383367271504005,-0.0307958827080853,-0.103686877856667,-0.0025545563243293,-0.00979734498477584
"b_ACC_1",-0.0749507985510867,-0.0285237875624405,0.00968885035932881,-0.0800582447238433,-0.0560094718251089,-0.0743945321330044,1,0.101703614337281,0.0525442155508607,-0.0608535554079,-0.0206877381983167,0.043440619612314,-0.0280763986941616,-0.0387598554750658
"b_ACC_2",0.0196676314795273,0.0279577524682278,0.0105141225212935,0.0299987588187695,-0.00611268698050021,0.0248993718574224,0.101703614337281,1,-0.0158298716277588,0.0332640696118093,-0.0228275091064717,-0.033406688973484,-0.0136665287506533,0.00664725533135471
"b_SI_CAMFD",-0.041196534420005,-0.013120313820622,0.437146686666924,0.0224158886803406,-0.0726550417376828,-0.0478945080228607,0.0525442155508607,-0.0158298716277588,1,-0.05008917653707,-0.00685804845691058,-0.0473244002887541,-0.0546355814705736,-0.0115942302042051
"b_SI_PANEL",0.0430291859977347,0.0326465169633245,-0.00504980974406144,0.0307001248293703,0.0370199649127841,-0.0383367271504005,-0.0608535554079,0.0332640696118093,-0.05008917653707,1,0.0230472992017267,-0.059543631054311,0.102210467825452,0.0184827722856773
"b_SI_ZER",-0.0428235784965655,-0.0315449433729192,-0.0229733794482102,-0.0744459791670487,-0.0719746442316857,-0.0307958827080853,-0.0206877381983167,-0.0228275091064717,-0.00685804845691058,0.0230472992017267,1,-0.0421313224611894,-0.0215563229592073,0.0434528966983912
"b_Si_MTRP",-0.0314731361978263,0.0221911997895627,-0.0462777589606159,-0.0550847390237442,-0.10796524308198,-0.103686877856667,0.043440619612314,-0.033406688973484,-0.0473244002887541,-0.059543631054311,-0.0421313224611894,1,-0.0283736732170914,0.000486351609202489
"b_No_Info",0.0173406650112726,0.00972279312978989,-0.438534849651889,-0.0201571599622881,0.0216321704721358,-0.0025545563243293,-0.0280763986941616,-0.0136665287506533,-0.0546355814705736,0.102210467825452,-0.0215563229592073,-0.0283736732170914,1,0.00932271060740609
"b_UsoCel_F",0.0231783271371931,0.0132670414056067,-0.456746228781464,0.0620785319212623,-0.0029654524405424,-0.00979734498477584,-0.0387598554750658,0.00664725533135471,-0.0115942302042051,0.0184827722856773,0.0434528966983912,0.000486351609202489,0.00932271060740609,1
