ViajeId;DISTAlt1;TIEMPOAlt1;CONG_A1;CFM A1;DISTAlt2;TIEMPOAlt2;CONG_A2;CFM A2;DISTAlt3;TIEMPOAlt3;CONG_A3;CFM A3;DISTEC;TIEMPOEC;CONGESTION;CFM EC;CHOICE
{39877BE2-6B1D-E811-9CE5-74867AD5B714};5.3;12;2;;4.4;13;2;;4.3;14;2;;423.035.474.598.606;114.121.666.669.846;2;;2
{DAED3F37-BE53-E811-884F-74867AD5B714};4.5;16;2;;5.7;17;2;;6;19;2;;46.963.874.239.327;149.242.166.638.374;2;;4
{89405035-CC53-E811-884F-74867AD5B714};6.9;19;3;;6;20;3;;5.3;22;3;;480.135.417.056.955;19.633.266.667.525;5;;4
{19234B93-DC53-E811-884F-74867AD5B714};5.7;12;3;;5.6;16;3;;6;21;3;;62.928.990.893.376;163.699.333.349.864;5;;2
{4F514B86-915B-E811-95E4-74867AD5B714};9.5;23;2;;8.4;26;3;;9.6;27;3;;798.356.463.528.468;273.485.000.014.305;5;;2
{101A1466-CB5B-E811-95E4-74867AD5B714};6.6;22;3;;8.8;27;2;;0;0;0;;622.314.724.893.921;253.781.666.636.467;4;;1
{880C34B5-7F66-E811-95E4-74867AD5B714};4;19;3;;5.4;19;3;;4.8;24;3;;459.410.471.068.975;191.248.333.334.923;4;;1
{2C98D15C-8366-E811-95E4-74867AD5B714};6;17;3;;4.5;20;3;;4.9;22;3;;542.730.943.222.081;127.379.999.995.232;5;;1
{1DA55572-BD69-E811-95E4-74867AD5B714};4.5;18;3;;6;19;2;;5.7;19;2;;464.159.732.382.637;118.507.333.358.129;4;;4
{797CCE76-CA69-E811-95E4-74867AD5B714};6.8;18;2;;6.5;20;3;;0;0;0;;625.185.501.552.877;2.361.571.666.797;5;;2
{678F2AF7-8F78-E811-B124-74867AD5B714};4.5;13;1;;5.7;16;1;;5.3;16;1;;467.262.702.305.341;132.115.500.013.034;3;;1
{5DE3C6B9-A278-E811-B124-74867AD5B714};5.7;15;2;;6.6;18;2;;0;0;0;;483.113.454.065.247;155.004.499.991.735;1;;4
{529A3FC5-C378-E811-B124-74867AD5B714};6.4;25;0;;6.8;27;0;;8.6;29;0;;73.891.413.413.626;242.633.833.328.883;5;;4
{F6DF6FDC-3F7A-E811-B124-74867AD5B714};2.1;9;2;;1.9;8;3;;2.3;10;3;;177.059.101.405.077;569.366.666.873.296;1;;2
{F9F58B0B-427A-E811-B124-74867AD5B714};5.9;17;2;;6.5;18;2;;6.1;22;3;;57.454.012.249.334;18.966.733.332.475;3;;1
{3775FE62-577A-E811-B124-74867AD5B714};6.4;18;2;;7.7;25;2;;7.4;25;3;;586.085.867.446.615;215.048.833.330.472;5;;4
{C2F6EF0D-5B7A-E811-B124-74867AD5B714};8.3;19;2;;7.5;21;3;;6.3;27;3;;566.825.396.255.132;407.876.666.665.077;6;;4
{9F160EA4-7A7F-E811-B124-74867AD5B714};6.6;20;2;;7.9;19;2;;7.4;22;2;;503.966.567.506.179;185.812.333.345.413;3;;1
{30A8A353-0A91-E811-A983-74867AD5B714};4.5;16;2;;5.3;16;2;;5.7;17;2;;423.771.345.728.268;14.105.166.665.713;4;;1
{23F0FAB8-1891-E811-A983-74867AD5B714};5.7;18;3;;6.6;22;3;;7.5;32;3;;624.985.553.793.692;207.561.166.644.096;4;;1
{DC497116-05A7-E811-BDF0-74867AD5B714};4.5;14;2;;5.3;17;2;;5.7;17;2;;451.734.615.275.753;171.114.333.351.453;1;;1
{18AE6C83-17A7-E811-BDF0-74867AD5B714};5.3;11;1;;5.4;13;2;;6;15;3;;380.144.723.851.796;132.478.833.357.493;3;;4
{85409A0D-D4AB-E811-BDF0-74867AD5B714};4.3;15;2;;5.2;16;2;;6.4;18;3;;260.029.197.865.595;133.929.000.020.027;4;;1
{968C85AE-09B2-E811-BDF0-74867AD5B714};4.5;17;3;;6;20;3;;5.7;19;3;;450.470.298.744.854;186.548.333.366.712;4;;1
{8C6DDF29-1BB2-E811-BDF0-74867AD5B714};5.7;14;2;;5.9;16;2;;6.8;14;1;;618.920.565.045.936;168.668.333.331.744;3;;1
{497AAECD-60BC-E811-914C-74867AD5B714};5.9;17;2;;7.4;20;2;;6.8;23;3;;591.862.565.377.002;170.245.000.004.768;2;;1
{339D9F0A-6ABE-E811-914C-74867AD5B714};8.8;19;2;;9;19;1;;9;21;2;;732.946.998.553.507;156.474.999.984.105;1;;1
{164EE8A2-76BE-E811-914C-74867AD5B714};3.6;10;2;;0;0;0;;0;0;0;;239.929.725.460.373;657.099.999.984.105;1;;1
{0B431AE3-7DBE-E811-914C-74867AD5B714};8.8;17;2;;7.5;18;2;;6.9;21;3;;443.820.034.492.775;231.583.999.991.417;1;;4
{1E6D39FA-95BE-E811-914C-74867AD5B714};4.5;16;2;;4.6;15;2;;5.3;15;2;;2.630.331.288.637;101.517.833.352.089;1;;1
{7F407B06-F4BF-E811-914C-74867AD5B714};6.7;19;3;;6.8;21;3;;7.6;22;3;;724.185.732.268.916;276.068.833.351.135;4;;4
{F688CF5D-F8BF-E811-914C-74867AD5B714};7.7;17;1;;7.2;17;2;;8.2;18;2;;726.049.602.589.358;265.161.666.671.435;5;;4
{019DE0D5-31C0-E811-914C-74867AD5B714};9.8;17;0;;8.7;18;0;;8.4;26;0;;725.357.902.960.908;21.357.216.668.129;2;;4
{B2AEB536-36C0-E811-914C-74867AD5B714};4.3;14;3;;5.6;15;2;;4.5;16;3;;349.942.863.757.503;885.538.333.257.039;1;;4
{20476B39-38C0-E811-914C-74867AD5B714};3.4;11;3;;3.3;15;3;;3.9;16;3;;225.792.978.352.373;822.833.333.412.806;1;;1
{BF2BB12E-3AC0-E811-914C-74867AD5B714};4.4;15;3;;4.7;18;3;;5.6;18;3;;432.223.843.368.142;145.133.333.325.386;2;;1
{708DBE38-3DC0-E811-914C-74867AD5B714};5.6;12;1;;6.7;13;1;;7.4;15;2;;237.249.644.553.301;172.556.666.652.362;3;;4
{E0281A50-3DC0-E811-914C-74867AD5B714};4.9;12;2;;6;13;2;;5.6;17;3;;46.556.874.497.535;154.101.166.645.686;3;;3
{16644C52-46C0-E811-914C-74867AD5B714};8;20;3;;7.5;22;3;;7.3;22;3;;706.357.971.415.996;355.969.500.025.113;6;;3
{A1F568EF-4BC0-E811-914C-74867AD5B714};7.1;24;3;;8.4;30;3;;8.6;31;3;;66.794.156.449.047;415.757.833.321.889;6;;4
{8EFF97DB-BAC0-E811-914C-74867AD5B714};5.9;14;0;;4.8;16;0;;7.1;18;0;;480.826.888.443.178;159.587.166.666.985;3;;2
{3606E7B6-BDC0-E811-914C-74867AD5B714};4.7;14;0;;6.1;16;0;;4.7;17;0;;482.116.742.516.463;163.461.666.663.488;6;;4
