"Time.or","Time.Time.6.209042..75.56778","Time.Time.6.229264..75.570485","Time.Time.6.244864..75.57721","Time.Time.6.253639..75.564185","Time.Time.6.266524..75.563666","Time.Time.6.282256..75.561384","Time.Time.6.286315..75.574404","Time.Time.6.273829..75.592982","Time.Time.6.255575..75.601588","Time.Time.6.24448..75.589435","Time.Time.6.232039..75.604523","Time.Time.6.21883..75.58655","Distance.or","Distance.Distance.6.209042..75.56778","Distance.Distance.6.229264..75.570485","Distance.Distance.6.244864..75.57721","Distance.Distance.6.253639..75.564185","Distance.Distance.6.266524..75.563666","Distance.Distance.6.282256..75.561384","Distance.Distance.6.286315..75.574404","Distance.Distance.6.273829..75.592982","Distance.Distance.6.255575..75.601588","Distance.Distance.6.24448..75.589435","Distance.Distance.6.232039..75.604523","Distance.Distance.6.21883..75.58655","Status.or","Status.status.6.209042..75.56778","Status.status.6.229264..75.570485","Status.status.6.244864..75.57721","Status.status.6.253639..75.564185","Status.status.6.266524..75.563666","Status.status.6.282256..75.561384","Status.status.6.286315..75.574404","Status.status.6.273829..75.592982","Status.status.6.255575..75.601588","Status.status.6.24448..75.589435","Status.status.6.232039..75.604523","Status.status.6.21883..75.58655"
"6.209042+-75.56778",0,777,1001,1287,1499,1524,1667,1649,1569,1246,1294,612,"6.209042+-75.56778",0,4142,6898,6716,7999,11537,11777,11325,9744,7586,7874,3366,"6.209042+-75.56778","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.229264+-75.570485",779,0,401,882,1087,888,1024,1120,1164,619,696,498,"6.229264+-75.570485",3408,0,2344,4384,5789,7858,8101,8436,7412,4039,4037,4340,"6.229264+-75.570485","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.244864+-75.57721",878,511,0,635,675,693,828,900,816,441,759,499,"6.244864+-75.57721",6366,2895,0,4184,5879,6400,6643,6474,4485,3343,4922,4202,"6.244864+-75.57721","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.253639+-75.564185",1187,550,630,0,637,970,993,1062,1079,832,1166,941,"6.253639+-75.564185",6124,3049,2826,0,2215,4011,6118,6092,5976,4259,6671,6184,"6.253639+-75.564185","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.266524+-75.563666",1259,1000,732,525,0,454,732,828,1021,782,1066,935,"6.266524+-75.563666",9686,5214,5188,2225,0,2126,4221,4556,6361,5117,7462,8738,"6.266524+-75.563666","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.282256+-75.561384",1336,1029,842,685,488,0,510,955,1120,892,1142,1011,"6.282256+-75.561384",11967,9007,7797,6254,2287,0,2460,5945,8691,7301,9743,11019,"6.282256+-75.561384","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.286315+-75.574404",1273,1029,730,554,612,419,0,613,1047,808,1186,949,"6.286315+-75.574404",10667,7722,5520,4732,3291,2286,0,3683,7034,6087,9628,9719,"6.286315+-75.574404","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.273829+-75.592982",1350,1047,826,732,925,1094,818,0,495,742,979,1025,"6.273829+-75.592982",10731,7370,5833,5357,5808,6382,5146,0,2661,4171,5522,9784,"6.273829+-75.592982","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.255575+-75.601588",1468,1163,920,1172,1283,1398,1202,663,0,532,691,1143,"6.255575+-75.601588",9469,6648,4840,7427,6469,8431,6477,3600,0,2884,3531,8521,"6.255575+-75.601588","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.24448+-75.589435",1013,618,383,701,740,758,894,958,644,0,543,689,"6.24448+-75.589435",7096,4361,2435,4726,6421,6941,7184,5500,3689,0,3317,6148,"6.24448+-75.589435","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.232039+-75.604523",1385,987,867,1213,1224,1242,1378,1114,762,682,0,809,"6.232039+-75.604523",7551,5223,5159,7718,9144,9665,9908,6374,3893,3442,0,4553,"6.232039+-75.604523","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.21883+-75.58655",695,724,668,915,1138,1191,1298,1366,1149,777,840,0,"6.21883+-75.58655",3227,3764,4452,7330,9507,10511,10205,10440,6593,4658,5114,0,"6.21883+-75.58655","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
