"Time.or","Time.Time.6.221713..75.59181","Time.Time.6.21883..75.58655","Time.Time.6.214981..75.59758","Time.Time.6.232039..75.604523","Time.Time.6.241308..75.58755","Time.Time.6.207895..75.5909","Time.Time.6.262951..75.604237","Time.Time.6.25696..75.59199","Time.Time.6.273829..75.592982","Time.Time.6.286315..75.574404","Time.Time.6.276734..75.58055","Time.Time.6.255575..75.601588","Time.Time.6.275722..75.59619","Time.Time.6.293733..75.57159","Time.Time.6.245128..75.596843","Time.Time.6.27907..75.571295","Time.Time.6.234699..75.58744","Time.Time.6.230405..75.609889","Time.Time.6.24448..75.589435","Time.Time.6.241586..75.5765","Distance.or","Distance.Distance.6.221713..75.59181","Distance.Distance.6.21883..75.58655","Distance.Distance.6.214981..75.59758","Distance.Distance.6.232039..75.604523","Distance.Distance.6.241308..75.58755","Distance.Distance.6.207895..75.5909","Distance.Distance.6.262951..75.604237","Distance.Distance.6.25696..75.59199","Distance.Distance.6.273829..75.592982","Distance.Distance.6.286315..75.574404","Distance.Distance.6.276734..75.58055","Distance.Distance.6.255575..75.601588","Distance.Distance.6.275722..75.59619","Distance.Distance.6.293733..75.57159","Distance.Distance.6.245128..75.596843","Distance.Distance.6.27907..75.571295","Distance.Distance.6.234699..75.58744","Distance.Distance.6.230405..75.609889","Distance.Distance.6.24448..75.589435","Distance.Distance.6.241586..75.5765","Status.or","Status.status.6.221713..75.59181","Status.status.6.21883..75.58655","Status.status.6.214981..75.59758","Status.status.6.232039..75.604523","Status.status.6.241308..75.58755","Status.status.6.207895..75.5909","Status.status.6.262951..75.604237","Status.status.6.25696..75.59199","Status.status.6.273829..75.592982","Status.status.6.286315..75.574404","Status.status.6.276734..75.58055","Status.status.6.255575..75.601588","Status.status.6.275722..75.59619","Status.status.6.293733..75.57159","Status.status.6.245128..75.596843","Status.status.6.27907..75.571295","Status.status.6.234699..75.58744","Status.status.6.230405..75.609889","Status.status.6.24448..75.589435","Status.status.6.241586..75.5765"
"6.198954+-75.57458",771,661,812,1099,1183,752,1691,1369,1630,1262,1191,1532,1261,1360,1356,976,1049,1355,1331,758,"6.198954+-75.57458",5372,4402,5229,7043,7695,4894,11742,10593,12342,12970,12589,11099,11781,14283,8904,11444,6685,7897,8198,7856,"6.198954+-75.57458","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.229264+-75.570485",610,524,776,708,580,837,1322,802,1077,1419,1348,1008,1048,1159,683,1132,396,860,631,617,"6.229264+-75.570485",3876,3114,4845,4037,3459,6585,8037,5686,7453,9047,8666,5974,7142,9633,4330,7521,2355,4757,4039,3998,"6.229264+-75.570485","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.235712+-75.56956",841,704,1007,937,488,1129,1324,854,1139,1245,1174,916,1009,1300,591,725,592,1004,539,522,"6.235712+-75.56956",4787,4860,5756,5014,2778,8719,7947,5540,6866,7554,7173,5293,6541,8971,3650,6210,2909,5840,3358,2403,"6.235712+-75.56956","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.253639+-75.564185",1138,947,1310,1164,785,1249,1273,893,1091,1004,934,1087,1062,1059,888,718,1026,1558,841,642,"6.253639+-75.564185",6938,6184,9437,6871,4523,9102,7590,5643,6694,6118,5736,5976,6382,7534,5395,4591,6868,9553,4259,2786,"6.253639+-75.564185","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.266524+-75.563666",1058,973,1322,1084,716,1272,1112,733,930,785,715,1027,901,871,862,499,865,1417,773,793,"6.266524+-75.563666",7514,8062,9101,7447,5227,10604,6727,4780,5830,4613,4232,6413,5519,5955,6175,3087,6005,8683,5055,3705,"6.266524+-75.563666","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.206794+-75.57106",960,627,1001,1244,1143,940,1699,1405,1681,1707,1637,1554,1651,1762,1277,1421,1006,1571,1179,1021,"6.206794+-75.57106",6513,3590,6370,7538,6883,6035,10544,9540,11307,12071,11690,9919,10996,13488,8863,10544,5873,8637,7383,7083,"6.206794+-75.57106","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.242804+-75.55743",1248,1057,1436,1274,906,1359,1342,1073,1270,1184,1113,1197,1241,1239,1056,897,1055,1587,951,752,"6.242804+-75.55743",7262,6508,9379,7195,4975,9426,6925,6583,7634,7058,6677,6300,7323,8475,5940,5532,5753,8438,4584,3110,"6.242804+-75.55743","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.261663+-75.565777",1262,955,1367,1207,851,1257,1072,812,1088,918,931,1151,1059,973,954,631,989,1555,897,700,"6.261663+-75.565777",8950,6728,9708,7895,5288,9646,5799,4236,6974,5261,6017,6861,6663,6678,6160,3735,6453,9833,5503,3358,"6.261663+-75.565777","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.213903+-75.558228",1073,781,1155,1271,823,1095,1495,1224,1473,1579,1274,1250,1343,1443,926,1059,927,1338,873,856,"6.213903+-75.558228",7978,4801,7581,9015,6779,7245,10440,8928,10867,11555,11356,9294,10542,13050,7650,10211,6910,9840,7359,6404,"6.213903+-75.558228","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"6.252321+-75.567432",1083,872,1348,1109,742,1174,914,654,929,891,820,947,900,946,870,604,890,1437,818,617,"6.252321+-75.567432",6636,5581,8224,6570,4349,8499,4917,3355,5122,5149,4768,4886,4811,6566,5013,3623,5128,8313,4721,2211,"6.252321+-75.567432","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
