"Time.or","Time.Time.6.286315..75.574404","Time.Time.6.273829..75.592982","Time.Time.6.27907..75.571295","Time.Time.6.241308..75.58755","Time.Time.6.232039..75.604523","Time.Time.6.25696..75.59199","Time.Time.6.207895..75.5909","Time.Time.6.21883..75.58655","Distance.or","Distance.Distance.6.286315..75.574404","Distance.Distance.6.273829..75.592982","Distance.Distance.6.27907..75.571295","Distance.Distance.6.241308..75.58755","Distance.Distance.6.232039..75.604523","Distance.Distance.6.25696..75.59199","Distance.Distance.6.207895..75.5909","Distance.Distance.6.21883..75.58655","Status.or","Status.status.6.286315..75.574404","Status.status.6.273829..75.592982","Status.status.6.27907..75.571295","Status.status.6.241308..75.58755","Status.status.6.232039..75.604523","Status.status.6.25696..75.59199","Status.status.6.207895..75.5909","Status.status.6.21883..75.58655"
"6.286183+-75.565989",307,764,330,609,968,846,1166,858,"6.286183+-75.565989",1410,4951,1959,6534,8758,6075,12263,10021,"6.286183+-75.565989","OK","OK","OK","OK","OK","OK","OK","OK"
"6.275893+-75.56978",402,688,120,640,1000,666,1198,890,"6.275893+-75.56978",2036,4073,550,5368,7591,4480,11097,8855,"6.275893+-75.56978","OK","OK","OK","OK","OK","OK","OK","OK"
"6.265202+-75.572182",454,701,254,464,824,504,1022,714,"6.265202+-75.572182",3029,4846,1821,4047,6271,3589,9776,7534,"6.265202+-75.572182","OK","OK","OK","OK","OK","OK","OK","OK"
"6.260895+-75.573703",543,755,258,438,797,477,970,687,"6.260895+-75.573703",3622,5119,2137,3646,5870,3188,8647,7133,"6.260895+-75.573703","OK","OK","OK","OK","OK","OK","OK","OK"
"6.254212+-75.577288",643,667,381,437,795,337,837,536,"6.254212+-75.577288",4330,4263,3605,3537,5240,2022,7878,4947,"6.254212+-75.577288","OK","OK","OK","OK","OK","OK","OK","OK"
"6.24796+-75.580281",699,822,465,416,799,492,817,515,"6.24796+-75.580281",5898,5723,4490,3066,5373,3482,7408,4476,"6.24796+-75.580281","OK","OK","OK","OK","OK","OK","OK","OK"
"6.239645+-75.577397",768,1047,533,318,700,569,851,532,"6.239645+-75.577397",6968,8886,5560,2235,4542,4558,7426,4976,"6.239645+-75.577397","OK","OK","OK","OK","OK","OK","OK","OK"
"6.236897+-75.576467",981,1075,747,570,611,868,650,348,"6.236897+-75.576467",8266,7949,6859,3366,3624,4840,5806,2875,"6.236897+-75.576467","OK","OK","OK","OK","OK","OK","OK","OK"
"6.231378+-75.57567",951,1254,717,530,571,885,733,389,"6.231378+-75.57567",8690,7362,7283,3044,3302,4811,5964,2282,"6.231378+-75.57567","OK","OK","OK","OK","OK","OK","OK","OK"
"6.213594+-75.578073",1197,1290,932,828,887,1004,535,216,"6.213594+-75.578073",10086,9768,8782,4882,5911,7162,3745,1295,"6.213594+-75.578073","OK","OK","OK","OK","OK","OK","OK","OK"
"6.204031+-75.579593",1041,1181,777,744,860,1110,508,440,"6.204031+-75.579593",11482,11301,10178,6910,5383,8921,3217,2731,"6.204031+-75.579593","OK","OK","OK","OK","OK","OK","OK","OK"
"6.195293+-75.581542",1132,1272,868,960,854,933,502,507,"6.195293+-75.581542",12297,12116,10993,6347,5626,9887,3460,3422,"6.195293+-75.581542","OK","OK","OK","OK","OK","OK","OK","OK"
