"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_ruta1",0,NA,NA,NA,NA
"asc_ruta2",-1.06036323129146,0.183617882050233,-5.77483641272678,0.183126226246082,-5.79034064660162
"asc_ruta3",-1.85294917941734,0.244146615292879,-7.58949362125921,0.262476152402909,-7.05949535778399
"asc_rutaEC",0.940711960024195,0.861324482458562,1.09216907121812,0.891764498991729,1.05488832655685
"b_time",0.083070166644617,0.0234164090798583,3.54751944934503,0.0297242429581502,2.79469410748575
"b_dist",-0.235057603982597,0.0858178241107695,-2.7390301073026,0.0809314607064921,-2.90440333006051
"b_clima",-0.158053590912228,0.300813260538207,-0.525420955942709,0.316480106973127,-0.499410823713
"b_cong",0.0894925357410855,0.0763221327527885,1.17256335106563,0.0780648987578761,1.14638636781754
"b_Hpico",0,NA,NA,NA,NA
"b_Hvalle",-0.00319413899843364,0.236228774803147,-0.0135213798619384,0.233841121355716,-0.0136594409910255
"b_T_prof",-0.00877980826375888,0.0127076836754114,-0.690905477978438,0.0130561053472618,-0.672467633358997
"b_Hor_trab",-0.00771674922869985,0.0547378597078311,-0.140976451580109,0.0545349796426094,-0.141500909677989
"b_EduBasica",0.0400829828691979,0.239104197789742,0.167638139521269,0.2395726706105,0.167310331212049
"b_EduSuperior",0,NA,NA,NA,NA
"b_Info_traf",0.25462324573039,0.292352232605942,0.870946814603578,0.30078833684789,0.846519676922027
"b_Joven30",-1.15324778057188,0.576766183963301,-1.99950658106762,0.566448659067982,-2.03592640234934
"b_Adulto40",-0.257915573699769,0.412852870112719,-0.624715467351242,0.40969908713852,-0.629524404120937
"b_Adulto60",-0.434459848126275,0.359703766557961,-1.20782679671014,0.361470331897036,-1.20192394724674
"b_AdultoMayor",0,NA,NA,NA,NA
"b_USOCINTURON",-0.133060523053427,0.28874699266426,-0.46082046370659,0.299732783232704,-0.443930495751355
"b_NOUSOCINTURON",0,NA,NA,NA,NA
"b_USODISPMOB",-0.166681466252581,0.249800818634356,-0.667257486039544,0.258645564174853,-0.64443968634969
"b_NOUSODISPMOB",0,NA,NA,NA,NA
"lambda",-0.00608169470260317,0.118797258567558,-0.0511938977038312,0.120140326173293,-0.0506215930680163
"gamma_EDUBASICA",0.191520599970411,0.101747934078362,1.88230455689557,0.109564010213484,1.74802473546958
"gamma_CSECO",0.120165410641633,0.0989865165165958,1.21395736379395,0.116269098359752,1.03351115934369
"gamma_CONG_EF",0.386099751876588,0.153458286326142,2.51599155131979,0.191656797404867,2.01453722020079
"gamma_SININFO",-0.338724141403874,0.112206017813024,-3.01876983076176,0.133355609478685,-2.54000669884092
"zeta_FRbr",0.934842463642468,0.0428093196178389,21.8373585935927,0.0510643766608827,18.3071355174026
"zeta_EnfCond",0.757145904852381,0.0421356482696979,17.9692477971648,0.0468473456587668,16.1619808807821
"zeta_AFrSem",0.833893779683396,0.0379138703809247,21.9944250298156,0.0517438886611626,16.1157926329045
"zeta_CulFr",0.778106002814483,0.055754289909753,13.9559844466492,0.0459612957422852,16.9295923939458
"sigma_FRbr",0.474520130783378,0.0312610636288809,15.1792701750873,0.0487897863407427,9.72580874753949
"sigma_EnfCond",0.617303548797333,0.0278720246009809,22.1477828623762,0.0487601231696269,12.6600079874666
"sigma_AFrSem",0.42244775636007,0.0271143825223273,15.5802093598188,0.0430413465081759,9.81492891445263
"sigma_CulFr",0.887899572134271,0.0365144531444263,24.3163869556623,0.0344599022704599,25.7661662869951
