"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4"
"asc_ruta2",1,0.232577447190976,0.0398694694443269,-0.144635816263565,0.0324052439493209,0.0278144743456466,0.0773676273958483,0.0106808720287698,-0.00458897855142519,0.0159125518438341,0.00405887609970806,0.00425508574615599,-0.00565935315195481,-0.00311976873692061,-0.00266734284053897,0.021824792941957,-0.0254957303458648,-0.00115948630999844,1.64288585274079e-05,-1.00731502623794e-05,-1.08121957186271e-05,2.68501207224364e-05,NA,2.89864717012525e-05,2.98459671536234e-05,5.07214429795199e-05,3.19688886424626e-05,NA,NA,NA,2.17140341690885e-05,1.84458777686601e-05,1.84409678680233e-05,1.95964699152372e-05,2.60833273900058e-05,1.99625019847537e-05,2.28425326885803e-05,2.68023210591398e-05,4.69240488889504e-06,2.92672277358533e-05,3.37011512811924e-05,3.31044782789728e-05
"asc_ruta3",0.232577447190976,1,0.0237156740670101,-0.215757527960634,0.0936762190239924,0.0293673785296351,0.0766655678578627,0.00283555906596629,-0.00382416817205837,0.0278936450743742,0.00217116843276765,0.00380907394875955,-0.00346949702144286,-0.00537235971273067,-0.00459795972893084,0.0243845056737511,-0.0267857028656311,0.000307547878858175,4.61508449644024e-05,-4.34834481137447e-05,-2.86828630309649e-05,3.65902052920299e-05,NA,4.54655418631704e-05,1.93545734780632e-05,7.74634399916066e-05,3.21869104847871e-05,NA,NA,NA,2.57901534803381e-05,2.23892410018491e-05,2.21589636815415e-05,2.76704288170455e-05,2.99887448946777e-05,3.16377706376882e-06,6.20944714458907e-06,2.08654354796501e-05,3.91918387455841e-06,4.07901250390926e-05,4.41634106862509e-05,4.53897968875892e-05
"asc_rutaEC",0.0398694694443269,0.0237156740670101,1,0.0901240384296853,-0.0471806071712995,-0.396926902207724,-0.0820935736612448,0.00685548356915642,-0.208234082123667,-0.712099624207581,-0.0330110641087707,-0.161080872084907,-0.304851155408367,-0.28344367590674,-0.269814844847316,-0.30370301496649,-0.0831711714995417,-0.120930616339091,0.00166881208130314,0.00343130798014089,0.00264142907197996,0.00405527999212434,NA,0.000523169514303277,0.00135200891586529,-0.000186576404711429,0.00608421201904056,NA,NA,NA,0.00499004652598153,0.00407874742410646,0.0038067307424652,0.00273512528094906,0.0054763681763636,0.00433936490978449,0.00423353722295482,0.00292241641887439,0.00383542326423648,0.00412468921284466,0.00389468951394139,0.00237846411357283
"b_time",-0.144635816263565,-0.215757527960634,0.0901240384296853,1,-0.484933790586995,-0.0996917698630385,-0.380714176657537,-0.0372552819572965,-0.00644971877428087,-0.131655990086002,-0.00852253251581379,-0.0177634212488804,-0.0286841614608206,-0.00101012308556532,-0.0199707706086556,-0.098334291755765,0.133462089801588,-0.00106541749803159,-0.000265465285659763,0.000199986339642467,3.75809889508013e-05,-0.00018967073909251,NA,-0.000203295456656451,-0.000119380372886929,-0.000374062592178013,-0.000222622633225063,NA,NA,NA,-0.000166642527224687,-0.000125083913003238,-0.000121784464290413,-0.000151607142056,-0.000193030969716941,-5.53857009353738e-05,-6.83438114341076e-05,-0.000151272771260392,-4.00142703240351e-05,-0.000229606110563594,-0.000245112837240286,-0.000243742807454531
"b_dist",0.0324052439493209,0.0936762190239924,-0.0471806071712995,-0.484933790586995,1,0.0875929016597674,0.0163795675050132,0.000880763437385009,0.0157400263244242,0.0734020156301283,0.00888182285789382,-0.00879643424937428,0.0161129880042127,0.0300830910684416,0.0277007743016808,0.0222488376722736,0.0134713232968417,-0.0212419890689033,0.000182632396693367,0.000181660112841539,-9.10981603099238e-05,0.000137381986086019,NA,0.00020880437995172,0.000158048924245373,0.000235993103130289,0.000468881205846192,NA,NA,NA,0.000258171781330069,0.000243245814669117,0.000245272228983814,0.000223779382189099,0.000327075811447726,0.000206661182480609,0.000221472955525583,0.000187092937095692,5.28610164340571e-06,0.000236138881302035,0.000254954511633082,0.000219846642361263
"b_clima",0.0278144743456466,0.0293673785296351,-0.396926902207724,-0.0996917698630385,0.0875929016597674,1,0.0706482884966748,-0.0637994590358131,-0.0106221938484426,-0.00863295664378507,-0.141502812489091,-0.0324358919621231,0.00955193364292628,-0.0611864212116744,-0.0368663412177562,0.17633913116036,-0.00999412112056474,0.0972969485899232,0.00015537617776068,-0.00238125839949509,-0.00033547338366904,-0.000255558289208566,NA,0.000198610115085301,-0.000601680173106273,0.000448570981116078,-0.0015728868649657,NA,NA,NA,-0.00105147621126658,-0.000779751936695606,-0.000750109044699085,-0.000475366984140071,-0.00126880277346933,-0.00128838086896442,-0.00128524658574944,-0.000862856112075673,-0.000433482985885972,-0.000628175352870791,-0.000657394131747705,-0.000311732825059675
"b_cong",0.0773676273958483,0.0766655678578627,-0.0820935736612448,-0.380714176657537,0.0163795675050132,0.0706482884966748,1,-0.0704284503097896,-0.0322933120436846,0.0101095945932142,0.117377069640246,0.0634051563400295,0.124981523164074,0.102111968521228,0.082448120168036,0.109230116647473,-0.162984734741312,-0.106952916630701,0.000496284062016921,0.00110962415183919,0.000872011623406327,0.00104093398690518,NA,9.05239188583333e-05,0.00109955870004136,0.000422123795999958,0.00222903151810787,NA,NA,NA,0.00127741331345801,0.000965135910680392,0.00095515058618054,0.000712522811114038,0.00157536321751901,0.00162895643324964,0.00167207501132658,0.0013064255193225,0.000349481034923175,0.00100927215548482,0.00113610446696006,0.000873893915581769
"b_Hvalle",0.0106808720287698,0.00283555906596629,0.00685548356915642,-0.0372552819572965,0.000880763437385009,-0.0637994590358131,-0.0704284503097896,1,-0.00366430510335627,-0.108723509429347,0.0445833056199957,0.0148397220119785,-0.0200079271139735,0.0361957778038586,0.0356897489338879,-0.0534863148802499,0.0287049594231156,0.00485607937390532,-1.05005653551823e-05,9.10308337699854e-05,0.00010957336298282,8.30619092452912e-05,NA,9.44085462549102e-05,-4.91671930128902e-05,0.000318556950728081,0.000158123289946655,NA,NA,NA,0.000110335714493825,0.000107468365508284,8.8092602347265e-05,7.83702192869851e-05,0.000124747746424812,-1.39110466793994e-06,-2.97820315912502e-05,2.17438175196555e-06,3.48036839293193e-05,0.000214357681865026,0.000234606541378188,0.000209363183562166
"b_T_prof",-0.00458897855142519,-0.00382416817205837,-0.208234082123667,-0.00644971877428087,0.0157400263244242,-0.0106221938484426,-0.0322933120436846,-0.00366430510335627,1,-0.0656578409797346,-0.124796782234572,0.000236212212123102,0.334975062802001,0.305684215359103,0.164171772700041,0.00845736315069492,0.0108388511092432,-0.0281178905950504,0.000164723423386769,0.000319875257622982,-4.16876216129888e-05,-1.41253435444899e-06,NA,-5.13881660277947e-05,0.00023022491575931,9.94729373707378e-05,0.000502937837827797,NA,NA,NA,0.00018797782411263,7.21133119298715e-05,7.26140121980486e-05,1.82511302006612e-05,0.000282309046219468,0.000244275571983581,0.0002477837919158,0.000210725128217617,-4.78594433947754e-05,0.000135563032458469,0.000145687985878402,0.000102189089836746
"b_Hor_trab",0.0159125518438341,0.0278936450743742,-0.712099624207581,-0.131655990086002,0.0734020156301283,-0.00863295664378507,0.0101095945932142,-0.108723509429347,-0.0656578409797346,1,-0.0975455637888376,0.110456782091097,0.0114668013459872,-0.0508775410950503,-0.0837499781679693,-0.0420299930096985,0.0238901071573938,0.059103701682085,1.47897922257043e-05,-0.000540000574179834,-6.36511495817655e-05,-0.000131598866109094,NA,0.000126948168659452,-0.000229350817452513,0.000557336330485138,-0.000569094104629877,NA,NA,NA,-0.000213638983142235,-0.000182821088023025,-0.000229868502594987,-0.000160126018885247,-0.000323739429237625,-0.000443984451025744,-0.000477958201627734,-0.000284732781295774,-3.9987805861699e-05,6.06708298073857e-05,7.02829994609976e-05,0.000143763132011128
