"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4"
"asc_ruta2",0.0337158161054682,0.0104272557514884,0.00631951172928318,-0.000622202637263945,0.000510606999674271,0.00154179442567157,0.00108359470614599,0.000463185737288999,-1.07190375788013e-05,0.000159499390066273,0.000178265872270684,0.000228016479023664,-0.000599252236254487,-0.000236558456053776,-0.000176092823527704,0.00115759103770078,-0.00116855287540312,-2.59970845885375e-05,2.09435253988398e-07,-1.02547839000093e-07,-1.61296044490746e-07,3.96912187576222e-07,0.000173892643219368,1.27631236125317e-06,2.58144605363261e-06,1.61366026301041e-06,2.83561629982744e-05,0.000175326603045116,0.000206096412760307,0.000419672398921563,1.26125210048429e-06,1.29477423691158e-06,1.44152646770946e-06,2.298968612042e-06,2.56543449793487e-06,2.72654268780338e-06,3.30434875761314e-06,6.80000455709432e-06,2.19148388323788e-07,1.28374934928283e-06,1.58096368591403e-06,2.47264500361223e-06
"asc_ruta3",0.0104272557514884,0.0596171452800819,0.00499858740845989,-0.00123421467000394,0.0019627707266336,0.00216465926909115,0.00142783065776684,0.000163514365856361,-1.18780595486602e-05,0.000371786157167058,0.000126801584417671,0.000271422641634905,-0.000488515262691186,-0.000541688865819623,-0.000403642353755112,0.00171983874848105,-0.00163249818856473,9.16939133227279e-06,7.82331477652453e-07,-5.88645631721791e-07,-5.68985327910112e-07,7.19253175455481e-07,0.000248210578874492,2.66202875009233e-06,2.22602353704257e-06,3.27707237725795e-06,3.79636505771229e-05,0.000234479463066544,0.000269306484237604,0.000615228126847373,1.9919758196398e-06,2.08979094962771e-06,2.30333499179987e-06,4.31658041859731e-06,3.92215703316314e-06,5.74608376108837e-07,1.1944371656259e-06,7.03935717519958e-06,2.43392500243504e-07,2.37915335227806e-06,2.7549169634821e-06,4.50818791890762e-06
"asc_rutaEC",0.00631951172928318,0.00499858740845989,0.745165019126517,0.00182266155072839,-0.00349497751322827,-0.103436910538494,-0.00540537898606996,0.00139764202867567,-0.00228665671004966,-0.0335559348883979,-0.00681602743189249,-0.0405799289738981,-0.151753985169214,-0.101039744267618,-0.0837409818381382,-0.0757292260491293,-0.0179210363761042,-0.0127469029628671,0.000100013637881714,0.00016422160493853,0.000185249977334302,0.000281824294323914,0.126671803467109,0.000108296255574681,0.000549751400013379,-2.79052948460903e-05,0.025370770477692,0.152942756888381,0.180444332247973,0.314386121404649,0.00136262192298244,0.001345956198377,0.00139894442066471,0.00150848783399989,0.00253221144548031,0.00278633219706476,0.00287908440865732,0.00348568621705543,0.000842103538200669,0.000850548869838138,0.000858933200473563,0.000835181789114947
"b_time",-0.000622202637263945,-0.00123421467000394,0.00182266155072839,0.000548881150848408,-0.000974936289658395,-0.00070507812486869,-0.000680344636092344,-0.000206138276686679,-1.9222189946935e-06,-0.000168376756264293,-4.77587994770813e-05,-0.000121452610552474,-0.000387531801011031,-9.7726578107544e-06,-0.000168220903161915,-0.000665475908825086,0.000780478874521208,-3.04790318259484e-06,-4.3178987615203e-07,2.59766924307484e-07,7.15319959596433e-08,-3.57742756173501e-07,-0.000107608892061285,-1.14211967574854e-06,-1.31744546952151e-06,-1.51840317599555e-06,-2.51948374579114e-05,-0.000104510329135733,-0.000118870984090023,-0.000276376445989494,-1.23500736966265e-06,-1.12025915550785e-06,-1.21465549727954e-06,-2.26932751013379e-06,-2.42240776871292e-06,-9.65199983443884e-07,-1.26142995226444e-06,-4.89688473894649e-06,-2.38440500354747e-07,-1.2850037990593e-06,-1.4671196520998e-06,-2.32289270907626e-06
"b_dist",0.000510606999674271,0.0019627707266336,-0.00349497751322827,-0.000974936289658395,0.00736392338258181,0.00226914537399982,0.000107213091367046,1.78503006939953e-05,1.71823678499134e-05,0.000343846789203304,0.000182306567358982,-0.000220293849586607,0.00079736422082633,0.001066046935714,0.000854658306744551,0.000551505875336329,0.000288555238148082,-0.000222583001956542,1.08807293778012e-06,8.64288177746249e-07,-6.35122089499294e-07,9.49108307588424e-07,0.00024384314083736,4.29673942675596e-06,6.38861524678199e-06,3.50879186555327e-06,0.00019436611004318,0.000313955231599977,0.000350846888540504,0.000698558803690023,7.00822359424989e-06,7.97954065485301e-06,8.96035218816602e-06,1.22691099857349e-05,1.50343327421854e-05,1.31914954400917e-05,1.49726998064627e-05,2.21835978596225e-05,1.15376166402796e-07,4.84065290924851e-06,5.58956037136536e-06,7.67419183329054e-06
"b_clima",0.00154179442567157,0.00216465926909115,-0.103436910538494,-0.00070507812486869,0.00226914537399982,0.0911333956092845,0.00162678882002203,-0.00454870110631213,-4.07920871054262e-05,-0.00014226585974872,-0.0102176124033294,-0.00285762806237336,0.00166286159348065,-0.00762769054337108,-0.00400142603186071,0.0153771431799209,-0.000753091000131119,0.00358657717342117,3.25648265642866e-06,-3.9855628611934e-05,-8.22791555329449e-06,-6.21097958767955e-06,-0.0122192455063262,1.43775511451033e-05,-8.55588691086801e-05,2.34624638728293e-05,-0.00229371444120891,-0.0147174191082299,-0.0174233819874405,-0.0296983958929986,-0.000100411342851369,-8.99856219928014e-05,-9.64018236929788e-05,-9.16866594789223e-05,-0.000205170064592934,-0.000289310059468775,-0.000305668031693631,-0.000359912654163069,-3.32840983483892e-05,-4.53003419035275e-05,-5.07019798307615e-05,-3.82806668681972e-05
"b_cong",0.00108359470614599,0.00142783065776684,-0.00540537898606996,-0.000680344636092344,0.000107213091367046,0.00162678882002203,0.00581810447332508,-0.00126873382377092,-3.13347528972079e-05,4.20946453328211e-05,0.00214150748512631,0.00141142048435996,0.00549746661493568,0.00321637474550812,0.00226108815271646,0.00240669657851934,-0.00310314279538733,-0.000996151914238077,2.62812880147526e-06,4.69257282104655e-06,5.40388392716443e-06,6.39212560133644e-06,0.00178123903019452,1.65576571768512e-06,3.95066073190499e-05,5.57871607140108e-06,0.000821315566515735,0.00236895031851389,0.0027095393417639,0.00474002145007094,3.08224206556812e-05,2.81421398878922e-05,3.10159205679333e-05,3.47238513929334e-05,6.43654127491226e-05,9.24231397194281e-05,0.00010047807351041,0.000137687772255049,6.7801661281463e-06,1.8389963227738e-05,2.21395782828207e-05,2.71148781207774e-05
"b_Hvalle",0.000463185737288999,0.000163514365856361,0.00139764202867567,-0.000206138276686679,1.78503006939953e-05,-0.00454870110631213,-0.00126873382377092,0.0557780408413929,-1.10089571883975e-05,-0.00140170766140665,0.00251854357910346,0.00102281826353033,-0.00272495763332558,0.00353011439074359,0.0030305475281833,-0.00364890444174949,0.00169220369204839,0.000140042414048163,-1.72174912135967e-07,1.19196776513197e-06,2.1024689924016e-06,1.57930093001165e-06,-0.00037613023335491,5.34672343310536e-06,-5.46975157013468e-06,1.30353404845842e-05,0.000180397517513591,-0.00024369525778713,-0.000389887273344781,-0.00079288231157152,8.24313262022353e-06,9.70264532700589e-06,8.85713244962809e-06,1.18255418257276e-05,1.57813966860604e-05,-2.44383526193194e-07,-5.54128813799195e-06,7.09557153804052e-07,2.09065710254691e-06,1.20935134260837e-05,1.41557232713559e-05,2.01136146253372e-05
"b_T_prof",-1.07190375788013e-05,-1.18780595486602e-05,-0.00228665671004966,-1.9222189946935e-06,1.71823678499134e-05,-4.07920871054262e-05,-3.13347528972079e-05,-1.10089571883975e-05,0.00016182508911703,-4.55944395815882e-05,-0.000379727360983616,8.7693288201393e-07,0.00245731841035383,0.00160581377155264,0.000750874565619446,3.10775012065811e-05,3.44167812057823e-05,-4.36765019011156e-05,1.45480185670696e-07,2.25604593674828e-07,-4.30846953156114e-08,-1.44661611995941e-09,-3.4778126582448e-05,-1.56758402138981e-07,1.37954480136322e-06,2.19245927920287e-07,3.09058238434851e-05,-2.39540707681939e-05,-3.34689053210162e-05,-6.64306510875026e-05,7.56439315687337e-07,3.50684244056754e-07,3.93247013216104e-07,1.48337532069691e-07,1.92366224763111e-06,2.31144443218365e-06,2.48325093488371e-06,3.70389967324378e-06,-1.54851898837273e-07,4.11951429201553e-07,4.7348582922123e-07,5.28792932243553e-07
"b_Hor_trab",0.000159499390066273,0.000371786157167058,-0.0335559348883979,-0.000168376756264293,0.000343846789203304,-0.00014226585974872,4.20946453328211e-05,-0.00140170766140665,-4.55944395815882e-05,0.00297992074520183,-0.00127366570771196,0.00175968861588165,0.000360969639166809,-0.00114690569079341,-0.00164373967529287,-0.000662750188580469,0.000325525134898559,0.000393966434761294,5.6051854940566e-08,-1.6343344703022e-06,-2.82293961900967e-07,-5.78343498445449e-07,-0.000286481967288523,1.6617801957198e-06,-5.89743561228831e-06,5.27136849456571e-06,-0.000150068496184153,-0.000404138341271854,-0.000497671543270589,-0.000760492574108761,-3.6891592804108e-06,-3.81510531195717e-06,-5.34200014007065e-06,-5.58473565842227e-06,-9.46627361519246e-06,-1.80281269906271e-05,-2.05549800967423e-05,-2.14763160995883e-05,-5.55208231141283e-07,7.911596015117e-07,9.80196084570503e-07,3.19233210679263e-06
