"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4"
"asc_ruta2",1,0.262531436342449,0.12856028552074,-0.21307656696917,0.128676566199712,-0.1221863664213,0.11181532694511,-0.0580582638609873,0.0679048182323701,-0.00659621528561277,0.0630731388453965,-0.0991693097873762,-0.0284555060901283,-0.0573254001189617,-0.0796095144690575,0.049720190233947,0.00918040596843437,-0.0776194478199592,-0.16502811734223,0.161266336676967,-0.0543369894317033,-0.170918647770117,0.0710746178813606,-0.0167103303502216,-0.0849195581643953,-0.0986241137727118,-0.179129659042945,0.0599769899124176,0.0656506396298258,0.0527966695365283,-0.132965954282802,-0.0702808320689279,-0.060614398222381,-0.0676130449067788,-0.145717531131478,-0.118121969248179,-0.107245403657656,-0.100051767826838,-0.119491908127754,-0.146152873604805,-0.14731405092379,-0.106892421841546
"asc_ruta3",0.262531436342449,1,0.0940979551167306,-0.476287861489644,0.425779709729186,-0.0402293343053181,0.040009767537634,-0.0858864785726149,0.00845968473261944,0.0443685339782068,0.0440979752999425,-0.030748700834036,-0.0220376642549591,-0.0425536380540172,-0.074085763417575,-0.0149158467647836,-0.00745485044211039,0.0695377101761473,-0.0323314590147932,0.0782270061443775,0.0103079242980413,-0.0770406150721078,-0.0239731814218793,-0.140951654372343,0.0227772856484539,-0.0110958753890546,0.00410111866760738,-0.020799991399296,-0.0226720305010664,-0.0275240066744666,-0.0813518319262436,-0.155300562276671,-0.15123489827701,-0.140661346481454,-0.0175592311381851,0.0180345925638957,0.0196792209265232,0.0224151838312558,-0.0192772874512795,-0.0514288888137215,-0.0588409700541845,-0.0278391915262462
"asc_rutaEC",0.12856028552074,0.0940979551167312,1,0.0238336537372991,-0.00365779642292104,-0.427443517196842,-0.10579944604549,0.0116086318461767,-0.173607240576713,-0.709617737614627,-0.0259993778590694,-0.220854825633141,-0.253781899593762,-0.286984239608943,-0.28324169592308,-0.296601601474468,-0.132277139617969,-0.101504104603421,0.0722560697010003,-0.0236273912158019,0.0250270562065497,0.0289659934630184,0.0141115529412121,0.0961670715452399,-0.0150506313977395,0.0121506174571768,0.0633947508693601,0.0177862809540761,0.0233491546886642,0.0204291288471587,0.0545496073399282,0.0673993033356288,0.111097491977405,0.0256460417298658,0.0341408385207759,-0.008572529052616,0.00571415365726378,0.0126351671606171,-0.00110136488792534,-0.00115158796135711,0.0658522934824723,0.0478613670858954
"b_time",-0.21307656696917,-0.476287861489644,0.0238336537372981,1,-0.703564112071668,-0.0366109982222262,-0.40035406114278,0.101819729255451,0.0515129393961167,-0.156498259648228,-0.0248924011950124,0.025312579951376,-0.00950507736368478,-0.0119823417711642,-0.00385266343426251,-0.0950463649804335,0.216650976104568,-0.088772227819225,0.0625807837572851,-0.072579241245927,0.0333365456183901,-0.000734384088478347,0.0439726546212419,0.119985319242721,-0.0415916649489284,0.131613439940304,-0.0392625817762666,0.035606744686401,0.0377271008455357,0.044005598688413,0.0474998745730303,0.126687496224499,0.0915555482911901,0.0959226740310618,-0.00501580477404373,-0.0474986015497208,-0.05240158283502,-0.00691095775117716,0.0449219765233789,0.13963926461078,0.154802813656722,0.0386283025918834
"b_dist",0.128676566199712,0.425779709729185,-0.00365779642292003,-0.703564112071669,1,0.0762582161710383,0.00201255939157451,-0.070704754422253,-0.0634553094359176,0.132552205535737,0.00790565650306274,-0.0509415950698394,-0.049742411400826,0.0148684130861654,-0.0160304597716908,0.0395010216196319,-0.0458708645992928,0.0509314429780242,-0.0482478020437714,0.0855906277116381,-0.0220667890160687,-0.0168563139024186,0.044729499827746,-0.0397257199643305,0.0532141943865596,-0.0695892653193764,0.00262313702178603,0.0488469971690153,0.0468304997691741,0.0392818876430891,-0.0607734278439917,-0.0347740800768462,-0.0290194568791434,-0.0691049101419405,-0.0140605105529255,0.0569053025212999,0.0493366706503784,0.0363915075401222,-0.0549593082630076,-0.0623530772689232,-0.0810298256812171,-0.0545351433603454
"b_clima",-0.1221863664213,-0.0402293343053187,-0.427443517196838,-0.0366109982222264,0.076258216171038,1,0.0778309210055778,-0.0596845149395595,-0.061377703973668,0.0369135480210182,-0.162994958378625,0.0161299816915861,-0.0420359310311513,-0.0732793490489532,-0.0514505068670285,0.17320979715112,-0.0273967569377495,0.0706248486230227,-0.137118578828954,0.143760740697888,0.0278160063458456,-0.0487726678240689,0.00629597178984915,-0.056222902102796,-0.0351085005553348,-0.039185997450447,-0.0490630882017193,0.0137061380457798,0.0103383817800794,-0.00144251805816301,0.0397375386156089,-0.0196153171610334,-0.0647355286544279,-0.0503182993984981,-0.00417901851271735,-0.00787666299177807,-0.0203874342481409,-0.0373503200376594,0.013258116549121,0.0470143080641257,0.0283751541024924,-0.0420057013542232
"b_cong",0.11181532694511,0.040009767537634,-0.105799446045489,-0.400354061142779,0.00201255939157413,0.0778309210055784,1,-0.0955296601685333,-0.0355659913432587,0.0224668702374787,0.0890378376717344,0.0890271648921268,0.116381610860814,0.125994070512839,0.117719616549588,0.131157684722235,-0.184736207616579,-0.0587169460305917,-0.0778269365848763,0.0647298854739586,-0.0353648017913498,-0.00258106246164328,-0.159419439168367,-0.0784463266931246,0.0310446068484418,-0.150199529362085,0.0309278699806818,-0.150747435704865,-0.152355144962685,-0.151529299891056,-0.0262659885300709,-0.0906701441271194,-0.0497543346206925,-0.0251990461242975,0.000457563264320106,0.0448520793096428,0.0593634933531189,0.00513041516537665,0.0466754931134364,-0.120293138291973,-0.0944398914181847,-0.0143146844915429
"b_Hvalle",-0.0580582638609873,-0.0858864785726149,0.0116086318461781,0.101819729255452,-0.0707047544222529,-0.0596845149395599,-0.0955296601685334,1,-0.0133398866684744,-0.131127683279944,0.0538997919843913,0.0219991446202139,-0.0802321374684969,0.016810602355781,0.0269260740661156,-0.0658807837300568,0.045655431540395,-0.0157523464495125,0.0495898199225557,-0.0157678573098801,0.0807995103609514,0.0584371271885087,0.0103836559323183,0.0250028020504737,0.041796202998157,0.0685191245891631,0.0882424580768148,0.0192592394041414,0.0116786721818557,0.0151052936799793,0.131576962107174,0.0452459276816789,0.0418319206441672,0.0594764445934345,0.106677301527797,0.0389629438108681,0.0403013839136727,0.0808107284581933,0.0624975231426629,0.0693469846053489,0.0835299348919587,0.0917080448804673
"b_T_prof",0.0679048182323702,0.00845968473261954,-0.173607240576708,0.0515129393961169,-0.0634553094359178,-0.0613777039736687,-0.035565991343259,-0.0133398866684739,1,-0.0666643257102771,-0.0894785320943611,0.0234695131347456,0.321146360560608,0.277163392234126,0.136344184770928,-0.00301860293083701,-0.0200097506950169,-0.0202001496774227,0.0134293887447438,-0.0310375918242492,-0.0240489886028697,-0.0295842333407912,0.0632514985635097,-0.0760832511255735,-0.0141867848922565,0.117722840796955,-0.0343440577275414,0.0535974221712499,0.055655023510262,0.0561259038565925,-0.0223329695611326,-0.0775410805456313,-0.0870666915881171,-0.0950342439162834,-0.0293768334793214,-0.0413863077860874,-0.0421962991169974,-0.0565798328678811,-0.0481200563969231,0.0477933304791046,0.0348596391364361,-0.0318435818833223
"b_Hor_trab",-0.00659621528561174,0.0443685339782072,-0.709617737614617,-0.156498259648229,0.132552205535737,0.0369135480210181,0.0224668702374798,-0.131127683279945,-0.0666643257102746,1,-0.0945331819742251,0.134361808627969,-0.00212373878767474,-0.0369334801186923,-0.0692125092780501,-0.0585384350913559,0.0844687524948736,0.0472535741085943,-0.0769088042996233,-0.000934130035542057,-0.0884348108702325,-0.0607413493441286,-0.0321999528725232,-0.0759220422637899,0.06114508572432,-0.0488363643824912,-0.0948473365300386,-0.0407735398531784,-0.0469545588212841,-0.0412804188424191,-0.137237713182669,-0.0901174434316426,-0.10861707729113,-0.0115244562509756,-0.0839405178935265,0.0236537454100912,0.0122690338190649,0.00784864519555994,-0.0574366522300093,-0.0604349839175151,-0.126960233459522,-0.0910798817592753
"b_EduBasica",0.0630731388453966,0.0440979752999426,-0.0259993778590714,-0.0248924011950124,0.00790565650306274,-0.162994958378625,0.0890378376717344,0.0538997919843911,-0.0894785320943614,-0.094533181974223,1,0.0189605254186809,0.00971687546781436,-0.0666369567583255,-0.00337052709426185,0.120879633329598,0.040169375015763,-0.074544875860784,0.0125696737451985,0.0464573219977409,-0.011863498713932,0.0215106454403841,0.0303494062570172,0.0669323132303008,0.0669669129130943,0.0433655035414183,0.0258255137683525,0.0336233803489883,0.0305103269135724,0.0330422793519697,0.0044877619372735,0.0401812925571753,0.0550707883132726,0.0450235463813504,-0.00827467840893185,0.0793899288451762,0.073497432529221,0.0959199735172176,-0.00381592580582566,-0.0150236794991101,0.0322064963822712,0.0936727613388788
"b_Info_traf",-0.0991693097873758,-0.030748700834036,-0.22085482563314,0.0253125799513759,-0.0509415950698393,0.0161299816915857,0.0890271648921269,0.0219991446202137,0.0234695131347457,0.134361808627969,0.0189605254186808,1,0.00088256410118222,0.124669875241145,0.109275219646517,-0.0124686771214631,-0.0570373161100234,-0.0479321146996344,0.0277225941183185,-0.046290449790286,-0.0564133791304127,-0.0185594098051698,-0.0346448986968573,-0.0285515963661063,0.0679760753189709,0.00280994582243201,-0.0159661575639775,-0.0413517049527942,-0.0422843085349976,-0.03395701554987,-0.0518055760976741,-0.0209747932162765,-0.0430193191357472,0.0431991425838687,-0.0217603216772935,0.042723584198911,0.0402004764175196,0.0167412677581098,-0.059521026824505,-0.0480889037054616,-0.0107566490833081,-0.00527139304786606
