"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_ruta1",0,NA,NA,NA,NA
"asc_ruta2",-1.79133030542232,Inf,0,NA,NA
"asc_ruta3",-2.57509459991664,Inf,0,NA,NA
"asc_rutaEC",-0.645347133538666,Inf,0,NA,NA
"b_time",0.076946463922511,Inf,0,NA,NA
"b_dist",-0.218082790910215,Inf,0,NA,NA
"b_clima",-0.471555925294315,Inf,0,NA,NA
"b_cong",0.093141135507325,Inf,0,NA,NA
"b_Hpico",0,NA,NA,NA,NA
"b_Hvalle",-0.217260479112586,Inf,0,NA,NA
"b_T_prof",0.0199296315926688,Inf,0,NA,NA
"b_Hor_trab",-0.0357570938881857,Inf,0,NA,NA
"b_EduBasica",0.122447874434802,Inf,0,NA,NA
"b_EduSuperior",0,NA,NA,NA,NA
"b_Info_traf",-0.499328189123698,Inf,0,NA,NA
"b_Joven30",0.916778659060224,Inf,0,NA,NA
"b_Adulto40",0.105529814002157,Inf,0,NA,NA
"b_Adulto60",-0.025118680562936,Inf,0,NA,NA
"b_AdultoMayor",0,NA,NA,NA,NA
"lambda",0.999998046772575,Inf,0,NA,NA
"gamma_EDUBASICA",0.188837492860782,Inf,0,NA,NA
"gamma_CSECO",0.239901905434428,Inf,0,NA,NA
"gamma_CONG_EF",0.270980805034902,Inf,0,NA,NA
"gamma_SININFO",-0.245076437125883,Inf,0,NA,NA
"zeta_FRbr",5.56645590495391,Inf,0,NA,NA
"zeta_EnfCond",2.9259003281151,Inf,0,NA,NA
"zeta_AFrSem",6.60702020846518,Inf,0,NA,NA
"zeta_CulFr",1.91169906795656,Inf,0,NA,NA
"tau_FRbr_1",-0.954360057674529,Inf,0,NA,NA
"tau_FRbr_2",5.3606444668216,Inf,0,NA,NA
"tau_FRbr_3",6.7234975473474,Inf,0,NA,NA
"tau_FRbr_4",12.7389814364999,Inf,0,NA,NA
"tau_EnfCond_1",-0.533896522038396,Inf,0,NA,NA
"tau_EnfCond_2",3.51470338296828,Inf,0,NA,NA
"tau_EnfCond_3",4.55856800807124,Inf,0,NA,NA
"tau_EnfCond_4",7.28700614538019,Inf,0,NA,NA
"tau_AFrSem_1",-0.870595039819505,Inf,0,NA,NA
"tau_AFrSem_2",7.83909866794623,Inf,0,NA,NA
"tau_AFrSem_3",9.06517896709565,Inf,0,NA,NA
"tau_AFrSem_4",16.4133794189797,Inf,0,NA,NA
"tau_CulFr_1",-1.88990831369038,Inf,0,NA,NA
"tau_CulFr_2",0.633434243257742,Inf,0,NA,NA
"tau_CulFr_3",1.64158642526799,Inf,0,NA,NA
"tau_CulFr_4",4.76767385631152,Inf,0,NA,NA
