"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4"
"asc_ruta2",1,0.232575196492918,0.0402775462883458,-0.144713171404369,0.0331545749816443,0.0272858106540584,0.0776263218244986,0.011255108628213,-0.00383140019679882,0.0161170071002087,0.00458993075867771,0.00476060474691062,-0.00518873257212053,-0.00231491997126612,-0.00255278826504508,0.0223964331364334,-0.0258373095277967,-0.00564298836965788,0.00556658317026716,0.000217458878285823,0.000197681518274638,0.000223802977876164,-0.000206001896947989,-0.00012179517316715,1.9336670201437e-05,-0.000109736549727781,0.00036013131452744,NA,0.000322713869052702,0.000106416087188652,-0.000220790915548915,4.81301220618287e-05,-5.03949123250014e-06,NA,-0.000190890907428657,0.000166035424094342,0.000236434681883127,0.000254233175699923,0.000294977228643057,0.000122090612852884,7.27631899879903e-05,7.48289278446381e-05,9.34856390925945e-05,0.000135338349534037,-0.000197227910492917,-0.000196597437517681,-0.000199219303954849,4.35880099806252e-05,7.45787797645187e-05,7.26500393513429e-05,5.69778674163357e-05,-5.15049536473731e-07,6.22114099396193e-05,4.14340743596992e-05,8.41783745144394e-06,-4.48284262671825e-05,0.000352584702661951,NA,5.90600777565046e-05,0.000177439977453707,0.000138888402625117,0.000106123784301783,1.48989781864749e-05
"asc_ruta3",0.232575196492918,1,0.0240044822690335,-0.215706779258111,0.0944151979449145,0.0290451135299214,0.0766345202240952,0.00335651622220046,-0.00322894248101966,0.0279459705062381,0.00251616181123245,0.00403912006897572,-0.00313877785484922,-0.00472357243499222,-0.00446903220099137,0.0247437358532788,-0.0269705475566058,-0.00328832735016986,0.00415819498972288,0.000152281930215055,9.85887698956082e-05,0.000109109892187212,-0.000120751530882492,-6.68616730052032e-05,1.51261273251384e-05,-4.75314515473429e-05,0.000203752835263214,NA,0.000175686985413298,5.7181482246265e-05,-0.000114087252618993,1.67349460872931e-05,6.28022086738101e-06,NA,1.85926023329092e-05,0.000114932278403214,0.000137960288468529,0.000146261647753105,0.00016463360816761,8.64669936188319e-05,4.89207741942978e-05,4.86407206994947e-05,5.71739881144504e-05,0.000100267353985541,-9.83184744509969e-05,-9.84952573257425e-05,-0.000101076952604184,3.92940541782681e-05,5.12247542271343e-05,4.760556466998e-05,3.25077525634111e-05,5.61492982587576e-06,4.66186975422555e-05,3.21640085399289e-05,8.06914546399343e-06,-2.2449607113694e-05,0.000220773519174744,NA,2.51629671366483e-05,2.20736891152061e-05,3.76131668142667e-05,3.24848113117528e-05,9.89192251050858e-06
"asc_rutaEC",0.0402775462883458,0.0240044822690335,1,0.0890503052119757,-0.0456663092820982,-0.39974315238511,-0.0730582579925904,0.0181015962737874,-0.19557966842924,-0.702506019739355,-0.0263163339966198,-0.149704271390357,-0.295538054217313,-0.272797019806613,-0.269037252025933,-0.287001787254237,-0.0867003242373948,-0.150346066854368,0.0808050823197537,0.00256658387161423,0.00265122942757448,0.00552836440664177,-0.00429972801765622,-0.00313540434792513,0.000405603415271789,-0.00286908552306081,0.00893629714645087,NA,0.00772119953648196,0.00232472833913031,-0.00519996474942516,0.000839358180854079,-0.000938944275223676,NA,-0.00358021657462829,0.00149136586055447,0.00412497867204067,0.00472958734938231,0.00622132655113268,0.000543150921200531,-0.000114693175448495,0.000109190435257135,0.000988279982801183,0.000788829156551607,-0.00524373355243525,-0.00516140766374029,-0.00501465832155158,-0.00107274367290789,-0.000378416081311056,-0.000282530173645992,-5.86914457835724e-05,0.000774882468048603,0.00124584888939098,0.000660760870833694,-2.95401588808831e-05,-0.000726101009671441,0.0077904293452757,NA,0.00147431781258183,0.00296343791859181,0.00246480829295699,0.0019742267124485,0.000369798346470869
"b_time",-0.144713171404369,-0.215706779258111,0.0890503052119757,1,-0.485777304866512,-0.0992707959821437,-0.379657079298045,-0.0378588472217617,-0.00747073775084471,-0.131426633586593,-0.00896913595080612,-0.0178285128183173,-0.0290804313413641,-0.00223183980925246,-0.0202073123339508,-0.098985816569426,0.133786726584613,0.00418068034823864,-0.00786839525852005,-0.000452276406635757,-0.000230054450343701,-0.000220466558708804,0.000148066153467402,0.000181276430509073,-4.03714662454418e-05,0.000138951462546574,-0.000358413727800946,NA,-0.000319410697982939,-0.00010778129086688,0.000264800354448398,-3.49486361238917e-05,-9.05436521931666e-05,NA,-0.000159269218994073,-0.00033511039270706,-0.00034499532494099,-0.000354002368926574,-0.00035853140287876,-0.000283931428255164,-0.000197038500941384,-0.000187522941058455,-0.000183492684700077,-0.000299474326075027,0.000190610975571211,0.000198031728792045,0.000215262029662862,-0.000194144542537001,-0.000213395098421078,-0.00020031097949441,-0.000141413275930331,3.84572257974245e-05,-5.73538168384651e-05,-6.40172353108375e-05,-4.28635830862335e-05,-5.29212217915466e-05,-0.000417474414961061,NA,-2.37207997722245e-05,1.18308747253662e-05,-3.30982155480121e-05,-1.5809774917754e-05,-2.62865142399668e-06
"b_dist",0.0331545749816443,0.0944151979449145,-0.0456663092820982,-0.485777304866512,1,0.0870153036422055,0.0164320065516453,0.00319056633029258,0.0170139863859192,0.0738076425527369,0.00920908170444578,-0.00814505377248945,0.0166010763083172,0.0303250348998676,0.0270459051767649,0.0246981323844731,0.0125680235654719,-0.0199537069499009,0.0122598505561831,0.000857060414505842,0.000644206230743179,0.000787697858355644,-0.000606456258547146,-0.000488264475531758,0.00012188053838213,-0.000400812769397431,0.00119491714905904,NA,0.00126211020777782,0.00041842035724126,-0.000810959822678114,0.000144962945398788,7.47439753589332e-05,NA,-0.000124251199859803,0.000617393414674578,0.000949911116521396,0.00102039097622185,0.00117657911857768,0.000468404294395643,0.000312802383872374,0.000322465163436055,0.000393881896372025,0.000494331152131029,-0.00071094312470762,-0.000713142519608684,-0.000720974694302142,0.000222434776271163,0.000296490258376602,0.000283451101753243,0.000215890587903146,-6.67130503110837e-05,0.000248283024591495,0.000192342499082587,9.01420613954582e-05,-0.000104653127002211,0.00127371580260235,NA,0.000200614220587305,0.000169116937704681,0.000204161609646368,0.000180976175349898,4.94562781759153e-05
"b_clima",0.0272858106540584,0.0290451135299214,-0.39974315238511,-0.0992707959821437,0.0870153036422055,1,0.0667538955459797,-0.075617668406797,-0.0193581163955526,-0.0143569465146717,-0.145160565175191,-0.039452640622853,0.00230130738110178,-0.0682730975660908,-0.0370525776152357,0.159349861194755,-0.0043454387577459,0.112786695229007,-0.0798463601703414,-0.00284879701496287,-0.00304709886934662,-0.0041267459173648,0.00333346538112664,0.00216513510065304,-0.000284599119836721,0.00213330782788895,-0.00646907952040347,NA,-0.00586241747971421,-0.00178367249859961,0.00368033679435428,-0.000579817510908658,0.0008531712431723,NA,0.00372372400788563,-0.00228477785324445,-0.00385042383471283,-0.00422640753627991,-0.00512497751963661,-0.00149894420998476,-0.000727761335607366,-0.000816000866967776,-0.00127970132706869,-0.00179043979404567,0.00346535019328595,0.00341839709939699,0.00340240253603963,-0.000133768801507291,-0.000647782723968407,-0.000637991575466549,-0.000508266466351529,-0.000570591687967758,-0.000839306062750781,-0.000392728243767521,0.000140008696472963,0.000931838244040543,-0.00621499502486773,NA,-0.000897332320193728,-0.00298214999343117,-0.00233603378847284,-0.00182739185377825,-0.000274064189246681
"b_cong",0.0776263218244986,0.0766345202240952,-0.0730582579925904,-0.379657079298045,0.0164320065516453,0.0667538955459797,1,-0.0633105919204277,-0.0264552922134304,0.0106263412685349,0.120743563608071,0.0688248890428914,0.127661872481607,0.105367746623935,0.0820353507107657,0.114573364014926,-0.164049757628756,-0.114024750669363,0.0468712478233747,0.0021094498319662,0.00204598132364656,0.00409610781692521,-0.00265734054811136,-0.00192441580668626,1.80487956617816e-05,-0.00219454065516219,0.00575843209546202,NA,0.00565276310365569,0.0015770578399987,-0.00342563907785976,0.000641829651212337,-0.000512958403619559,NA,-0.0027170207476336,0.00139154629019991,0.00327284593041549,0.00369205620365829,0.00469669858179297,0.000702610676230326,0.000124664971438213,0.000255226543242481,0.0008199101741739,0.000924523294511402,-0.00339805962594528,-0.00333965371382544,-0.00324745099835408,-0.000447961091875265,3.8050913739783e-05,9.06566258885386e-05,0.000166299623106576,0.000204693754464285,0.000329415574638766,0.000163728585015175,-4.8780301327413e-05,-0.000884256044759124,0.00501902971969904,NA,0.000717469447320756,0.00223076235924231,0.00160487639587602,0.00117304656717134,0.000127074463348599
"b_Hvalle",0.011255108628213,0.00335651622220046,0.0181015962737874,-0.0378588472217617,0.00319056633029258,-0.075617668406797,-0.0633105919204277,1,0.0161761100553346,-0.0929238281671081,0.0562504616947724,0.028578643396585,-0.00620092442512249,0.0545725520375726,0.037361954041515,-0.026280339828813,0.01579343088641,-0.117432395781876,0.16295457379405,0.00391282281076933,0.00419391651184751,0.0053509246910669,-0.00524464046946548,-0.00300103049208412,0.000627515470616662,-0.00263060894844831,0.00918530958705389,NA,0.00653126650137535,0.00232169411312964,-0.00511570880038125,0.00132929056966145,-0.000822070531906877,NA,-0.00597979043691294,0.00302577417243857,0.00431640611748064,0.00471484866092373,0.00566674395979984,0.00209820875225604,0.00106043811330079,0.00113925852084921,0.00163732579689958,0.00235820660849148,-0.00476930680539655,-0.00473013035622151,-0.00477314326186705,0.00034570124839264,0.00118157321588034,0.00117820526594541,0.00101099940192959,0.00077135968449774,0.00181781061191365,0.00103597722264375,-2.04910508063019e-05,-0.00117961354174546,0.00951498789280485,NA,0.00153464658685447,0.00503069769998785,0.00397124421543847,0.00314830585261836,0.000517205820052662
"b_T_prof",-0.00383140019679882,-0.00322894248101966,-0.19557966842924,-0.00747073775084471,0.0170139863859192,-0.0193581163955526,-0.0264552922134304,0.0161761100553346,1,-0.0560388158146223,-0.114082767902317,0.010596273300991,0.34103440575237,0.314526042907929,0.163919516903967,0.0275542589702884,0.00160934731267285,-0.108168415222301,0.120044480726244,0.00301200148543724,0.00357822155566159,0.0044505576171035,-0.00370661445694072,-0.00231541282399368,0.000386400811942204,-0.00222112797440878,0.00730897616713208,NA,0.00589450071467649,0.00189393394746829,-0.00418052868350578,0.00109753497895486,-0.000509808396265648,NA,-0.00526876561678006,0.00267245784912859,0.00403969141476536,0.00440083988518597,0.00524251920698884,0.00186783497352848,0.000982155581845506,0.00105447755750882,0.00149026463143724,0.00210780811721261,-0.00384723598896515,-0.00381117904806911,-0.00384943961566558,0.000403305396284569,0.00109904513371896,0.00110632597595368,0.000965840490287966,0.000322503045709705,0.00144737017895138,0.000893101120692324,0.000117701507315378,-0.00112918415716458,0.00757374757183015,NA,0.00116461133975413,0.00434147426216468,0.00334146632162827,0.00261653694216539,0.000396088062426215
"b_Hor_trab",0.0161170071002087,0.0279459705062381,-0.702506019739355,-0.131426633586593,0.0738076425527369,-0.0143569465146717,0.0106263412685349,-0.0929238281671081,-0.0560388158146223,1,-0.091017436195576,0.115562514526883,0.018815831346488,-0.0394600110116115,-0.0809628431608881,-0.0284646329573055,0.0166127362919731,-0.0144135029072515,0.0769232724314031,0.00182613819716085,0.00178201868394176,0.000949558628710345,-0.00174629083357566,-0.0003269562728217,0.000199005850253362,-0.000363792667036706,0.00171910285231793,NA,0.000774574879845685,0.00038395138842037,-0.000755273239081248,0.000517386990103128,-0.000169343256141073,NA,-0.00226486661159642,0.00153096127919344,0.00106727038286032,0.00104270910458163,0.000988180031527418,0.00131793606280428,0.000824548584567389,0.000763423533762427,0.00067287537774512,0.00145238371652547,-0.000491233769962986,-0.000495848593405009,-0.000586889994979492,0.000818421447091863,0.00109043200353462,0.00104536560761063,0.000812368964172539,0.000279864237352503,0.000740315050488716,0.0004265514832183,-9.39110864522852e-06,-0.000815377185703241,0.0025578023766964,NA,0.000227043489619794,0.00195823861847548,0.0015893588397282,0.00129857975042992,0.000210334115872249
