"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4"
"asc_ruta2",0.0337163512840372,0.0104275991656319,0.00642359631330255,-0.000622581156536639,0.000521906303824777,0.00151475327643465,0.00109116260695774,0.000494778218264914,-9.01343571327348e-06,0.000162210610415385,0.000202086782713937,0.000256268349608727,-0.000551489911683576,-0.000176710857928802,-0.000168512119707278,0.00120121496345454,-0.00118840110644213,-0.000214083983889998,0.00021497727408744,3.2447448537878e-06,3.34803403555699e-06,2.16378390548622e-07,-3.19122151909286e-06,-4.81116005437677e-10,2.72929939244073e-09,-4.31494418738232e-08,1.04408610019347e-08,-8.51587836151181e-08,3.95063338596356e-05,5.70104591364321e-06,-0.000113276269924259,1.75096801661279e-06,-3.06659593139295e-07,-0.000182245068294536,-5.05078052740561e-06,2.34945807228395e-05,4.38327109209541e-05,5.10196443028973e-05,8.72245925169077e-05,1.02638297939005e-05,7.0983846943835e-06,7.86395607383895e-06,1.28064069212475e-05,3.14407853493804e-05,-0.000143776490706746,-0.000154884167119175,-0.000247920958009371,2.60790868220032e-06,4.39931633046269e-06,4.50415483330684e-06,4.90501557010479e-06,-3.11130275729693e-08,2.86930770441528e-06,2.40435163605358e-06,7.93138749247836e-07,-0.000330166089077963,0.000446410300251367,-0.000318620605637875,0.000239965454541528,7.20607712531299e-06,3.61541138325532e-06,2.81153865629314e-06,8.9293580117356e-07
"asc_ruta3",0.0104275991656319,0.0596212798049851,0.00509082232917124,-0.00123404804149871,0.00197638408314385,0.00214416636921255,0.00143246912864213,0.000196214001184144,-1.0101212771745e-05,0.000374019650281988,0.000147316266730005,0.000289134537753394,-0.000443626240351487,-0.000479488499746058,-0.000392292669483904,0.00176476754579103,-0.00164962748952132,-0.000165893904743765,0.000213544830441544,3.02156640982604e-06,2.22040198200038e-06,1.40278952422051e-07,-2.48747508697252e-06,-3.51218455768878e-10,2.83907981653169e-09,-2.48533720240455e-08,7.85523985794367e-09,-6.41932754374454e-08,2.86001988282291e-05,4.07364353453656e-06,-7.78350526012574e-05,8.0959148146504e-07,5.08188860212815e-07,-0.000142185572485416,6.54174780833466e-07,2.16266534768438e-05,3.40111725699862e-05,3.90315706588261e-05,6.47365151002138e-05,9.66624701361767e-06,6.34631295956734e-06,6.79754231158097e-06,1.04150472638118e-05,3.09750792370732e-05,-9.53092383179665e-05,-0.000103186968367953,-0.000167268562607679,3.12631360246161e-06,4.01818717311626e-06,3.92478201135934e-06,3.72135847729053e-06,4.51043021874949e-07,2.85922003394853e-06,2.48193768442191e-06,1.01101253350554e-06,-0.000219871064711181,0.00037170472633617,-0.000238250119478148,0.000135955544389113,1.19207262844266e-06,1.30200304579408e-06,1.14443739841282e-06,7.88360432716402e-07
"asc_rutaEC",0.00642359631330255,0.00509082232917124,0.754379537151561,0.00181216604096358,-0.00340031895130991,-0.104968922013364,-0.00485763013028472,0.00376402431792669,-0.00217636242204964,-0.0334441048358043,-0.00548064699302536,-0.0381190179336596,-0.148581370210481,-0.0985012042149471,-0.0840046699735874,-0.0728116950571303,-0.0188630165506486,-0.0269799884040006,0.0147610479583875,0.000181147996205328,0.000212395725705984,2.52824613607297e-05,-0.000315065885802895,-5.85852042950918e-08,2.70798189434229e-07,-5.33632215538894e-06,1.22548413673689e-06,-9.82133928784119e-06,0.00447103984289966,0.000589106923554307,-0.0126192284797695,0.000144438590787673,-0.000270261600456047,-0.0217880344961864,-0.000448081711519815,0.000998218938883572,0.00361729161110084,0.00448955317270841,0.00870178042829926,0.000215984384385807,-5.2924899648181e-05,5.42788725578684e-05,0.000640378967714787,0.000866822406678536,-0.0180815137587593,-0.019234105723685,-0.0295187413091237,-0.000303595943880554,-0.000105587903373659,-8.28546636285657e-05,-2.38992170027639e-05,0.000221413334708749,0.000271798536791359,0.000181367440409838,-1.3165462621467e-05,-0.0252959315772492,0.0466559244063312,-0.0385766076525463,0.0283348219596853,0.000569269519173158,0.000303493608425384,0.000247401893639397,0.000104834295531428
"b_time",-0.000622581156536639,-0.00123404804149871,0.00181216604096358,0.00054895311183796,-0.000975738944485549,-0.000703191940169603,-0.000680956405262002,-0.000212361413737829,-2.24255798057142e-06,-0.00016878178899137,-5.03883019721782e-05,-0.000122460296030802,-0.000394388705678358,-2.17389024713383e-05,-0.000170204971677364,-0.000677426507268673,0.00078519247329553,2.02380808423744e-05,-3.87737100333302e-05,-8.61102167638708e-07,-4.97166406807303e-07,-2.71980701194477e-08,2.92677183572891e-07,9.13710065871266e-11,-7.27095324216299e-10,6.97163022925236e-09,-1.32588972157165e-09,1.17431042163181e-08,-4.98937214175099e-06,-7.36780246517553e-07,1.73349918602018e-05,-1.62232859409414e-07,-7.03032189126683e-07,2.77607071847588e-05,-5.37715364518147e-07,-6.05065207349845e-06,-8.16108121327635e-06,-9.06481015360097e-06,-1.3527732264799e-05,-3.04570597598714e-06,-2.45271019848696e-06,-2.5146254271446e-06,-3.20736578179812e-06,-8.87727035900435e-06,1.77302455493996e-05,1.99072509553162e-05,3.41819311047182e-05,-1.48216947928921e-06,-1.6062076789113e-06,-1.58463612610246e-06,-1.55335859124207e-06,2.96427551007184e-07,-3.37533393693013e-07,-4.74006827810556e-07,-5.15328837006619e-07,-4.97343189626588e-05,-6.74447184767018e-05,5.09037860334411e-05,-1.22979119420596e-05,6.13072207646081e-08,-1.09936943544262e-07,-5.34446649091883e-08,-2.01022232507133e-08
"b_dist",0.000521906303824777,0.00197638408314385,-0.00340031895130991,-0.000975738944485549,0.00734949646093641,0.00225532527518647,0.000107839924033245,6.54842965798743e-05,1.86873378299672e-05,0.000346820454395133,0.000189302613331456,-0.000204708233225237,0.000823798578219046,0.00108077943057661,0.000833539865271468,0.000618464102980907,0.000269892771667518,-0.000353433018627741,0.000221053570104449,5.97067391314971e-06,5.09397987535651e-06,3.55562701716025e-07,-4.3862534430199e-06,-9.00499265484892e-10,8.03179027838389e-09,-7.35823981673435e-08,1.61741597922821e-08,-1.4433442065308e-07,7.21364699807736e-05,1.04657068508626e-05,-0.000194252038668247,2.46221947631724e-06,2.12351122666051e-06,-0.000329792022979318,-1.53490801472913e-06,4.07884727005794e-05,8.22202185293625e-05,9.56049372829098e-05,0.000162435183058197,1.83846998257513e-05,1.42470964112336e-05,1.58220541908636e-05,2.51916679781988e-05,5.36165662642707e-05,-0.000241970750607251,-0.000262309494486971,-0.00041889999205998,6.21350330225878e-06,8.16561413637477e-06,8.20472660709293e-06,8.67713624294423e-06,-1.88153620282418e-06,5.34641436715653e-06,5.21103637103597e-06,3.96537830153139e-06,-0.00035986506602625,0.000752925117395783,-0.000567588276978597,0.000380561572640767,3.20658713577887e-06,2.48127172527857e-06,2.23852136740624e-06,1.38386488542219e-06
"b_clima",0.00151475327643465,0.00214416636921255,-0.104968922013364,-0.000703191940169603,0.00225532527518647,0.0914049065398267,0.00154497533545658,-0.00547329218530076,-7.49825860582749e-05,-0.000237914774899988,-0.010523129033137,-0.00349682092756483,0.000402731300516124,-0.00858106774251859,-0.00402716331406374,0.0140720715469237,-0.000329089376231109,0.00704526549492785,-0.00507719030835663,-6.99889348128709e-05,-8.49717987468387e-05,-6.56931708972992e-06,8.50249041448306e-05,1.40821575200653e-08,-6.61405055992015e-08,1.38115327566724e-06,-3.08803622980054e-07,2.59257944933779e-06,-0.00118165395091028,-0.000157335541075513,0.00310892161510078,-3.47309807163764e-05,8.54811860574506e-05,0.00570290959535925,0.000162224038673272,-0.000532323198749378,-0.00117533090391505,-0.00139650033956019,-0.00249520879420257,-0.000207480414092078,-0.000116896430435945,-0.000141197382515009,-0.000288639315386754,-0.000684851956824698,0.0041594039894525,0.0044342089335163,0.00697159236959182,-1.31778525565255e-05,-6.29163831278383e-05,-6.51263697914655e-05,-7.20427242230251e-05,-5.67522629685894e-05,-6.37370428467359e-05,-3.75229476356758e-05,2.17204147836584e-05,0.0113001438618512,-0.012956150839865,0.00980198929896062,-0.00600305732602543,-0.000199407452483253,-0.000100123339739469,-7.97126936150115e-05,-2.70445969137446e-05
"b_cong",0.00109116260695774,0.00143246912864213,-0.00485763013028472,-0.000680956405262002,0.000107839924033245,0.00154497533545658,0.00586030693081402,-0.0011603183263379,-2.59468898131643e-05,4.4588053848674e-05,0.00221633630988769,0.00154460793965336,0.00565688553613506,0.00335331878930011,0.00225765346944936,0.00256191924774284,-0.00314580101922547,-0.00180349129456834,0.000754658140927213,1.312237686825e-05,1.44465903371184e-05,1.65104648552739e-06,-1.71621954279436e-05,-3.16926489012024e-09,1.06208093437245e-09,-3.59755472036056e-07,6.96016562130236e-08,-6.54135991571574e-07,0.000288502632985653,3.52236835168839e-05,-0.000732722014092523,9.73466303921678e-06,-1.30134337825176e-05,-0.00146180968564635,-2.99713362481538e-05,8.2092692019211e-05,0.000252960439231939,0.000308896796237434,0.000579005973144495,2.46253157986186e-05,5.07028229149279e-06,1.11824583961415e-05,4.68261624918513e-05,8.95427162018596e-05,-0.00103273856979011,-0.00109690876199405,-0.00168486196313568,-1.11739192706951e-05,9.35782467229352e-07,2.34324071522032e-06,5.96850224058712e-06,5.15510791813292e-06,6.33419027516449e-06,3.96099913165102e-06,-1.91616546158831e-06,-0.00271516924741092,0.00264929551578579,-0.00248785568383515,0.00121534063503173,3.77694478952925e-05,1.74169948694266e-05,1.29564636231229e-05,3.17513307572583e-06
"b_Hvalle",0.000494778218264914,0.000196214001184144,0.00376402431792669,-0.000212361413737829,6.54842965798743e-05,-0.00547329218530076,-0.0011603183263379,0.0573167019499574,4.9616628790842e-05,-0.00121938897984264,0.00322907534454149,0.00200583297866582,-0.000859316269511687,0.00543152557410134,0.00321563124663461,-0.00183777848843269,0.000947136459917739,-0.00580875762173912,0.00820522917538017,7.61226505623832e-05,9.26112803706444e-05,6.74523640667917e-06,-0.000105930681301383,-1.54564746955384e-08,1.15481984139175e-07,-1.3486538169316e-06,3.47207851810103e-07,-2.28308666981787e-06,0.0010424778012745,0.000162170764437686,-0.00342203042137116,6.30523801559353e-05,-6.52227720964745e-05,-0.00468564762774819,-0.000206290643540013,0.000558243617253839,0.00104334937404963,0.00123365371986345,0.00218476313966219,0.000229983232251016,0.000134881827411542,0.000156104043719691,0.000292440697987052,0.000714290169521268,-0.0045330976860663,-0.00485872806178872,-0.0077447357448216,2.69678670065382e-05,9.08763481462486e-05,9.52398555935756e-05,0.000113476363566074,6.07533906703844e-05,0.000109314060370828,7.83810109579769e-05,-2.51728955823005e-06,-0.0113276294363639,0.0157072187539981,-0.00826021291060707,0.00812986623401272,0.000266376534555887,0.000134784094287903,0.00010874982304078,4.04154544153919e-05
"b_T_prof",-9.01343571327348e-06,-1.0101212771745e-05,-0.00217636242204964,-2.24255798057142e-06,1.86873378299672e-05,-7.49825860582749e-05,-2.59468898131643e-05,4.9616628790842e-05,0.000164144043160564,-3.93528408402702e-05,-0.000350464557026315,3.97995604935485e-05,0.00252910440873088,0.00167523656267085,0.000754986681815575,0.000103115247790149,5.16485123517418e-06,-0.000286330603078971,0.000323473215104279,3.13581814559976e-06,4.22847047296413e-06,3.00230445989222e-07,-4.0064103203673e-06,-6.3817596002471e-10,3.80539547162469e-09,-6.09382168110677e-08,1.47850995116348e-08,-1.09283579139624e-07,5.03487163230875e-05,7.07952890352999e-06,-0.00014965155202104,2.78594089753382e-06,-2.16455748124526e-06,-0.000230983682536961,-9.72689913839983e-06,2.63857890358789e-05,5.22549719258278e-05,6.16216113334426e-05,0.00010816400680187,1.09561494815028e-05,6.68529181393789e-06,7.73216611534945e-06,1.42442001925091e-05,3.4166135637433e-05,-0.000195686385046208,-0.000209498444358279,-0.000334250151512319,1.68364936088319e-06,4.52353258943104e-06,4.78578126508428e-06,5.8013876542328e-06,1.35931269208787e-06,4.65778007755636e-06,3.6160402422795e-06,7.73789684406853e-07,-0.000580277895105164,0.000669073525065053,-0.000395165990926522,0.000330162697020143,1.2302034521757e-05,6.06905543832488e-06,4.83671480308745e-06,1.65633349104402e-06
"b_Hor_trab",0.000162210610415385,0.000374019650281988,-0.0334441048358043,-0.00016878178899137,0.000346820454395133,-0.000237914774899988,4.4588053848674e-05,-0.00121938897984264,-3.93528408402702e-05,0.00300434050253082,-0.00119621891449925,0.00185696672262192,0.000596972035683718,-0.000899163661486489,-0.00159535151463803,-0.000455723847195552,0.000228092613799615,-0.000163229576613477,0.000886780005381296,8.1337597591642e-06,9.00928531608261e-06,2.74046399904466e-07,-8.07526155736817e-06,-3.85534895514692e-10,8.3847404481656e-09,-4.27004167259258e-08,1.48775555346373e-08,-7.50955671874719e-08,2.83052372239848e-05,6.14013310820851e-06,-0.000115668772736351,5.61863791545542e-06,-3.07604056694835e-06,-0.000135324832790398,-1.7888345560729e-05,6.46674061421427e-05,5.90630538239194e-05,6.2462974431002e-05,8.72249688980609e-05,3.30731682981863e-05,2.40114475888048e-05,2.39492209822692e-05,2.75151144728397e-05,0.000100718250226734,-0.000106896137157571,-0.000116609128280128,-0.00021801823543722,1.46169456318107e-05,1.92009536014906e-05,1.93463908068628e-05,2.08757368911365e-05,5.04655452528606e-06,1.01924349936607e-05,7.38866693814167e-06,-2.6413125147202e-07,-0.0017926347855401,0.000966700668024635,-0.000165574968230896,0.000275370907138312,2.37392686226544e-05,1.23500293893845e-05,1.02696170337638e-05,3.76294406883677e-06
