"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_ruta1",0,NA,NA,NA,NA
"asc_ruta2",-1.06059281000356,0.183620127665888,-5.7760160799659,0.183135970090252,-5.791286165579
"asc_ruta3",-1.85332815340754,0.244174691163898,-7.5901730215091,0.262715626232215,-7.05450292389298
"asc_rutaEC",0.95622322581464,0.86855025021674,1.1009417423759,0.901469072388428,1.06073880414016
"b_time",0.0831117808352623,0.0234297484373597,3.547275851359,0.0298610079210704,2.78328786003962
"b_dist",-0.234803543935197,0.0857292042476565,-2.73889797526747,0.0809357259221675,-2.90111123684735
"b_clima",-0.158578527929767,0.302332443743351,-0.524517071228992,0.318178538623379,-0.498394796254542
"b_cong",0.0909841288129151,0.0765526415665327,1.18851716872291,0.0783576110794672,1.16113964628966
"b_Hpico",0,NA,NA,NA,NA
"b_Hvalle",-0.0141147077023032,0.23940906822833,-0.0589564455797542,0.235466334188705,-0.0599436337722553
"b_T_prof",-0.00906768810152532,0.0128118711810791,-0.707756733842028,0.0131868627583755,-0.687630429441308
"b_Hor_trab",-0.00988913521245037,0.0548118646146144,-0.180419609549529,0.0545987376922255,-0.181123879973118
"b_EduBasica",0.0395100815683409,0.23977919111543,0.164776940753465,0.239641550268248,0.164871582261567
"b_EduSuperior",0,NA,NA,NA,NA
"b_Info_traf",0.251415778864613,0.293165298097319,0.857590514622072,0.300357772738419,0.837054345464101
"b_Joven30",-1.16345822194235,0.578836621059494,-2.00999414966657,0.567245736633131,-2.05106560843986
"b_Adulto40",-0.26952701514468,0.415725791352211,-0.648328828163396,0.412878814274421,-0.652799334396309
"b_Adulto60",-0.435362014738116,0.359497654992614,-1.21102880280835,0.360441363962152,-1.20785808252527
"b_AdultoMayor",0,NA,NA,NA,NA
"b_USOCINTURON",-0.152019251779119,0.292093296825827,-0.52044758791492,0.304317728536352,-0.49954122788137
"b_NOUSOCINTURON",0,NA,NA,NA,NA
"b_USODISPMOB",-0.160448620041646,0.250492930999917,-0.640531528778748,0.259748259724944,-0.617708161785379
"b_NOUSODISPMOB",0,NA,NA,NA,NA
"lambda1",0.00176771729158777,0.206611617540412,0.00855574973291141,0.20699282522967,0.00853999306317207
"lambda2",-0.054546068389057,0.210321448669378,-0.259346199515783,0.212121711794932,-0.257145145244676
"gamma_EDUBASICA",0.348286309992665,0.0812611798784609,4.28601098967038,0.0907982616076048,3.83582575069361
"gamma_CSECO",0.28275705179654,0.09223664791274,3.06556079600855,0.0988569034683273,2.86026612078874
"gamma_CONG_EF",0.464688020078081,0.00526535600397053,88.2538654039093,0.00665629997556313,69.8117605552727
"gamma_SININFO",-0.144152678249631,0.084365609281224,-1.70866635679846,0.0906342867161638,-1.59048725898918
"gamma_HORAS_TRABAJO",-0.0486394503068209,2.15129239877945e-05,-2260.94092715694,2.02236827314149e-05,-2405.07384104013
"gamma_HPICO",0.108584453315548,0.000768686410630881,141.259754060736,0.000356795541650784,304.332427510616
"gamma_CONG_CD",0.0697989234487016,0.00214142858879864,32.5945603854385,0.00222235590273074,31.4076261875677
"gamma_USOCINTURON",-0.28912397024489,0.000157890188351805,-1831.17122895993,0.000367923680171135,-785.82593572234
"gamma_USODISPMOB",0.00880992402679824,NA,NA,0.00130370950971482,6.75758208492733
"zeta_FRbr",5.26254891454414,0.666697481202803,7.89345852192191,1.06709499759927,4.93165924906755
"zeta_EnfCond",3.07153253423498,0.291760817584082,10.527570355981,0.393692648725624,7.80185391872942
"zeta_AFrSem",8.41477395847455,2.79407110659927,3.01165347531773,7.02396219111056,1.19800957486989
"zeta_CulFr",2.04418468816318,0.198125768984134,10.3176113770788,0.219128712730299,9.32869391095791
"zeta_OmLmVel",3.62059947884268,0.331397765776857,10.9252380454507,0.47451695568464,7.63007398464577
"zeta_IgPare",6464.51076155877,NA,NA,1.98881480913572,3250.43374167555
"zeta_UsoCel",1.10164858215956,0.144096346624696,7.64522215839965,0.150759310897572,7.30733362736077
"tau_FRbr_1",0.021221963255219,0.770631324796858,0.0275384124319281,0.957553297355046,0.02216269664972
"tau_FRbr_2",5.89202696921304,1.00964073441788,5.83576590004576,1.24481119684612,4.73326957866479
"tau_FRbr_3",7.11435471907088,1.09291130698,6.50954443753511,1.39657276267212,5.09415256349315
"tau_FRbr_4",12.1127833139551,1.61038669293524,7.52166132960104,2.13493749039569,5.67360092201581
"tau_EnfCond_1",-0.00426687426020711,0.45783277849118,-0.0093197220921335,0.557485600343989,-0.00765378380638764
"tau_EnfCond_2",4.08227914187631,0.531284953560844,7.68378459528273,0.650414101744384,6.27643086293457
"tau_EnfCond_3",5.1144618151676,0.572336273268902,8.93611335510209,0.674944388536352,7.57760476571788
"tau_EnfCond_4",7.69030429068688,0.746039995838042,10.3081662291419,0.899143354900756,8.55292345627768
"tau_AFrSem_1",0.387441313084547,1.26517972828171,0.306234208803478,1.79778596900695,0.215510255260563
"tau_AFrSem_2",11.0722412039792,3.97007965519255,2.78892167553808,9.78870010090727,1.13112477549016
"tau_AFrSem_3",12.3966801662988,4.29050968678881,2.88932576110251,10.6680157387715,1.16204179576195
"tau_AFrSem_4",20.3744428892058,6.77737533855174,3.00624384388303,17.2109245532393,1.18380873881474
"tau_CulFr_1",-1.55376147372977,0.325840492508559,-4.76847264060944,0.392035573797774,-3.96331755987852
"tau_CulFr_2",0.99883863694239,0.321254805290926,3.10917882158322,0.377221624273589,2.64788276352354
"tau_CulFr_3",2.01431767486115,0.33764255063654,5.96582886565587,0.387990731450709,5.19166441767707
"tau_CulFr_4",5.10558897656901,0.468828403376035,10.8901016657772,0.513642339149833,9.93996909409695
"tau_OmLmVel_1",-3.28636574164949,0.328982645162009,-9.98948056980666,0.38993741317365,-8.42793133108769
"tau_OmLmVel_2",2.07359467279882,0.25118100588269,8.25538008143522,0.357516057465547,5.80000430609651
"tau_OmLmVel_3",3.07445345603415,0.31602399388298,9.72854440024763,0.382533578528545,8.0370812618865
"tau_OmLmVel_4",5.04265411236121,0.513131112444102,9.82722347187733,0.595589076551178,8.46666655063796
"tau_IgPare_1",-5200.53154970639,40.1105564981177,-129.654933856389,14.145706238448,-367.640290420521
"tau_IgPare_2",3595.52231305534,6.8952569673962,521.448632017132,10.4578870322809,343.809634007028
"tau_IgPare_3",4852.60876103184,NA,NA,6.05148062601067,801.88784545954
"tau_IgPare_4",8226.07250869704,22.1276057878967,371.756103554435,22.1467229022622,371.435202625703
"tau_UsoCel_1",-2.58774808618822,0.221170473316893,-11.7002421136048,0.185855249152597,-13.9234597784405
"tau_UsoCel_2",-0.328225816729308,0.141765793476094,-2.31526808182157,0.154939003296945,-2.1184195699275
"tau_UsoCel_3",0.549806721405554,0.144281631920194,3.81064945058056,0.152289274651026,3.61027867960792
"tau_UsoCel_4",3.2128060903175,0.326394976906804,9.84330739634777,0.32116408035894,10.0036283220925
