"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4"
"asc_ruta2",1,0.263163370701145,0.131484342460387,-0.214088364284542,0.130654862524419,-0.12086476481017,0.113864402100475,-0.0547252642618338,0.0690903796602018,-0.00786160643714301,0.0633209742903184,-0.0977397508906717,-0.0265297558796577,-0.0566789880215729,-0.0809719207468471,0.0524632848314042,0.00780360613521343,-0.0603663876430197,0.0152010675491568,-0.037336711012795,-0.0276149272201447,0.0952979461036349,-0.0575283328155384,-0.0952157505029407,0.085682626114786,-0.0930884298604145,0.0940513121593774,-0.0839058560247368,0.0160282983398559,0.0312124312507848,-0.09388463070966,-0.0160071669525526,0.0608926660396902,-0.0545921542021674,-0.00849112700483802,-0.102199010831475,-0.0272732033573771,-0.0171486185796685,-0.00822542731892471,-0.0896534558251386,-0.045927435364521,-0.0357077551999876,-0.034850912530328,-0.101399029066418,-0.0971712853673268,-0.0949053143443221,-0.0957624484719909,-0.0998746374153777,-0.0965294965009839,-0.0958273633698183,-0.0725114358692786,-0.0353995936050109,0.0839593149887398,0.0391003188203098,0.0264991805953968,0.0957664752569641,0.111761489641275,-0.0857960538220773,0.0867785912288132,0.034293228404456,0.0374431305575334,0.0411226394067884,0.0101061635364726
"asc_ruta3",0.263163370701145,1,0.10258021486001,-0.476670739516247,0.428730573827756,-0.0505040921772301,0.0439657929959163,-0.0638371904944071,0.0237480365230672,0.0538892372088311,0.0556861743830264,-0.0194311422447985,-0.00883591763962603,-0.0255231335732385,-0.0726642808276514,0.0036786571992561,-0.0179537599687726,-0.0585123673341362,0.12330463509339,0.0714987690992378,0.081516776658582,-0.00437338327166323,-0.117508992916724,-0.0198244308894186,0.0318343276865671,0.00572232066833838,0.000486098104405286,0.0101981850336372,0.0512982825070886,-0.141201031034855,-0.00151206447983318,0.00398292960262364,0.0869171571129142,0.0334563699859338,-0.0625279552070547,0.0543928297354142,0.0708518851913948,0.0639076982471885,0.0437722168488753,-0.0112571708877423,-0.110401463625737,-0.113734077096603,-0.125565825747173,0.0272871182157032,0.00134825806906093,0.00123161082796429,0.000813741694683152,0.0221715371656466,0.0044532265006655,-0.00468490952780575,-0.000646629309059721,-0.0393550634886065,0.115209114552523,0.0864750675782703,0.102224954749887,0.0479357442405527,0.0113696416479655,0.000516380328512822,0.0418949743085505,0.09856182120686,0.00227450311913451,-0.00983747387061594,-0.031787759523976
"asc_rutaEC",0.131484342460387,0.102580214860011,1,0.0159363309075825,0.00284785228667573,-0.432388901479643,-0.0928592124342062,0.0247980266962908,-0.154229631040063,-0.698085550229391,-0.0181246785821607,-0.209248614768684,-0.238839139284912,-0.269342073091126,-0.283012418134167,-0.271244777169847,-0.141871523659111,-0.170494211319512,0.116990526531119,0.0380806817371103,-0.0592259786993647,0.120290599895885,-0.0892535422322705,-0.121684668510626,0.11559657232664,-0.124919605065747,0.117855030011926,-0.123870117928945,0.0869883978528725,0.116599899607293,-0.117339499286346,0.0736771270532487,0.0262057707345802,-0.1354664991867,0.030596163836894,-0.0560175724408388,0.00835147409129836,0.0362976932527381,0.0664762928662693,-0.0557519565216085,-0.00743244925846271,0.0289618181464947,-0.00116629900025313,-0.0919226816176492,-0.121554632531915,-0.119164646943765,-0.114630922600573,-0.0937453149657406,-0.0675649840742324,-0.013434937423195,0.0189740543292131,-0.0203340191415576,-0.0163555725005301,-0.0112592102176826,-0.0221977928970431,0.0767481205858274,0.116690318898294,-0.129754641699573,0.0920292559104728,0.00289509715440843,-0.0148076619331929,-0.00526292236186965,-0.0154757304802176
"b_time",-0.214088364284541,-0.476670739516247,0.0159363309075808,1,-0.705091182354352,-0.0267707127043069,-0.403608888460184,0.0844753894910712,0.0386587091113933,-0.163534969195871,-0.0362062046945864,0.0168911418733293,-0.0197774804483977,-0.0273775454186811,-0.00582395887569992,-0.108269279999124,0.225084030928271,0.027728630846203,-0.0993136846654385,-0.00279582631120675,-0.029605457867206,0.050406845970343,-0.0451683581297515,-0.048856466923087,0.0519717170884156,-0.0542406019554114,0.0537925016690982,-0.0459504629427469,-0.00875433766011127,0.128975806616774,-0.0422241236356359,0.112052899711748,-0.0754746399748932,-0.0444292501572199,-0.031604021156323,-0.0906046399583002,-0.0638330274223342,-0.053403733617824,-0.0168714984474294,-0.0328969151791918,0.0668718016473128,0.0503271211045539,0.0764981137521844,-0.0706973213796178,-0.0477449035888887,-0.0476331356858976,-0.0401421157778952,-0.0292225869303749,0.0303311472088105,0.0524511079159516,0.00653202703332953,0.0565960998764551,-0.0902987629845891,-0.0490547360552035,-0.0876211247721435,0.00306019160032772,0.0446143843384274,-0.0513901561652955,0.0457398324125889,-0.0837886700903122,-0.0573415727291006,-0.0257911770827686,0.063572206132129
"b_dist",0.130654862524419,0.428730573827757,0.00284785228667819,-0.705091182354353,1,0.0689129004631878,0.00524714726209591,-0.0621679648597068,-0.054851302249938,0.135453563167369,0.0140876989308435,-0.0492410410026652,-0.0442959750364063,0.0212390972082565,-0.0170949064144342,0.0472667438253188,-0.0524133535669858,-0.0154535388625402,0.0533124983891102,0.0642779945983137,0.119608944761586,-0.0362034344414636,0.0329262042486809,0.034038703511834,-0.0405463181548596,0.0419603202922614,-0.0437275244551965,0.0270350389261689,0.0394677913275918,-0.0527959392759364,0.0314772102063748,-0.0844401036773974,0.0142746505141041,0.0344052328659975,0.074564831126679,0.115063299112317,0.126083571810899,0.108313289263235,0.0663891809428654,0.0693183443954299,0.043865436804341,0.0421452047452,-0.0148946801027883,0.0945761487261469,0.0443664752732325,0.0420653629496315,0.0359876800768374,0.066347768794427,0.0539206637843298,0.030093908337299,0.00209725809669895,-0.023166333562379,0.0682163926154854,0.0323883358629785,0.0541470951061757,-0.012585399588286,-0.0300183377020381,0.0366401053608037,-0.0295439068530867,-0.0480416811495134,-0.0429606707998467,-0.0353215735978432,-0.0425937317813752
"b_clima",-0.12086476481017,-0.0505040921772301,-0.432388901479637,-0.026770712704306,0.0689129004631882,1,0.0689193272722905,-0.0713032638348713,-0.0734371998304168,0.0324944453623975,-0.168205545738862,0.0106867206980018,-0.0498807082738758,-0.0839516447729111,-0.0505557580397423,0.152711087020769,-0.0168249198879944,0.104739861981457,-0.0893584221298653,-0.101489815899463,0.0599449125685437,-0.0476030687048073,0.0568296502812077,0.0393993090965062,-0.0243401670248515,0.0546658969934445,-0.0476322307124669,0.0668122285067388,-0.0335112188232245,-0.0328909504903228,0.0238347898298579,-0.0505490465284905,-0.0200439802261928,0.118434647823335,-0.0400168844884276,0.0362470991552594,0.018406778479442,0.00532836969927187,-0.0155551218360435,0.0707053016708951,0.0291684486412923,-0.000456627590140045,-0.00423913071874006,0.0488785713844083,0.0300895911699356,0.0280889918822722,0.0231901051648571,0.0559696065364766,0.0667338860174148,0.0512354212948065,-0.0188492552334768,0.0184127350158277,-0.00681832184133864,0.000826513662392233,-0.00808703403631692,0.0327726078833601,-0.0198701446605649,0.069807657257687,1.72438088559199e-05,0.0130008813157049,0.0246269172815004,0.0524390478312974,0.0239726119004858
"b_cong",0.113864402100476,0.0439657929959164,-0.0928592124342055,-0.403608888460184,0.00524714726209579,0.0689193272722907,1,-0.0840090529657164,-0.0248414491136273,0.0256099645853388,0.0979875291707762,0.0971535268918625,0.121692036096139,0.136171355188161,0.117005809693602,0.143320026027891,-0.191214437277405,-0.115502268348627,0.0865890844690212,-0.105501873407245,-0.056796665147405,-0.0545626156411761,0.0748072800186114,0.0508352722041556,-0.0460395522297113,0.0569018495443002,-0.0568358483547999,0.0552107752467388,-0.0367826821356996,-0.0788927228181306,0.0473823774808293,-0.12366279340328,0.020188734901684,0.0447276513990393,-0.0759078905101325,0.00335022737251459,-0.0463709839023488,-0.0423978415507477,-0.0329518893048711,-0.0219281926758865,-0.0859973763929463,-0.0615307746195224,-0.0447066642574078,0.00905487101700256,0.0432218145151985,0.0450264028173849,0.041965501764089,0.019211156554195,-0.0867905011539721,-0.0778478646662168,-0.0290600984836873,0.00284616524486589,0.0405794815039808,0.00288008037062937,0.0419183501124335,0.00431679137884981,-0.0539926415729981,0.0536001518522151,-0.0421041416705574,0.176378172057978,0.108842952222474,0.138746055499986,0.00994237127149353
"b_Hvalle",-0.0547252642618338,-0.063837190494407,0.0247980266962901,0.0844753894910711,-0.0621679648597068,-0.071303263834871,-0.0840090529657163,1,0.00475714133598802,-0.120910479674787,0.0560572452973057,0.0280671736460613,-0.0689344077332471,0.0307425649896147,0.023510795448521,-0.0363442779007943,0.0289575117303519,-0.0955240889813271,0.129424515314308,0.0529335525949973,0.133597016516505,-0.0901131080688779,0.105763476409505,0.09832199954966,-0.110488485377937,0.0962634904346692,-0.0955328399621204,0.0765452308200003,-0.0836276117327882,0.00144583316442028,0.106955884825504,0.0218025321679722,-0.00428837311823423,0.0512025203274152,-0.00989036551589598,0.149962142238259,0.0345198080152234,-0.00105909025689645,-0.0648567080987255,0.185378069038245,0.116049732675952,0.101352046570749,0.0791980284310678,0.168495141438534,0.115974748946225,0.114537085817075,0.115507358090728,0.148890580374377,0.144604415320476,0.149608797315812,0.126532820405787,0.0244219646637043,-0.00694172510859034,-0.0138408386282862,0.00170962436965737,-0.108286200913726,-0.100992607033571,0.0896388905915044,-0.0990334439789471,0.0154721422143601,-0.0105971875031908,-0.0362934805290823,0.0358483090804614
"b_T_prof",0.0690903796602019,0.0237480365230672,-0.154229631040065,0.0386587091113928,-0.0548513022499375,-0.0734371998304145,-0.0248414491136265,0.00475714133598774,1,-0.0601294064386599,-0.0803813412744897,0.0290509928559858,0.328872248856032,0.287603532363271,0.132572067670674,0.0245247741374998,-0.0345297565977273,-0.111852131601204,0.131942885598304,0.142111835680416,0.0353408782554951,0.0307925719894878,-0.0347535612240955,-0.0235786454869344,-0.00877986991852309,-0.0288387915780891,0.0242744972541818,-0.0493704920708295,0.0187330690586563,-0.078611547724599,-0.0195793726660391,0.0989375222897824,0.0349540374650941,-0.0639864622794774,-0.0196697235656684,0.0343573405145549,0.0436117532014928,0.0374171990714913,0.0193873151045064,0.032894686089496,-0.0250562416212343,-0.0361905915852262,-0.0597122769702177,0.0199124755163284,-0.0133681400386379,-0.0136132756272708,-0.0188349195069568,0.0229275706269662,0.0816016587743863,0.0763546160585671,0.0189123497317738,-0.0134108063539475,0.0460608480500916,0.0409786965696557,0.0109995657149849,0.0330600734470262,0.0287439571810495,-0.0412681611201863,-0.0120027664112127,0.019707301079383,0.0193319809606054,0.00194648136642457,0.0401862864951561
"b_Hor_trab",-0.00786160643714344,0.0538892372088302,-0.698085550229381,-0.163534969195871,0.13545356316737,0.0324944453624029,0.0256099645853388,-0.120910479674786,-0.0601294064386578,1,-0.0905355482309444,0.135069743940016,0.00207769321981374,-0.029855281994863,-0.0690329809133927,-0.0444055626311688,0.076016357247737,0.00223680769808269,0.0530427908100512,0.00867799629441773,0.0540462728345277,-0.109438418303867,0.0645258164895525,0.111217570750191,-0.104237339943334,0.112980706415288,-0.106986838150047,0.103289404024718,-0.0514797563954118,-0.115922286547363,0.108777211547436,-0.0829898306561275,-0.0108740867040368,0.101030545485998,-0.0170594224244113,0.0596727922629005,0.0268912060888859,-0.00487996378356778,-0.0351108225343553,0.0356212722357336,-0.0058191091012087,-0.0312008419445783,0.00819363778019473,0.0900285094535877,0.112821041676646,0.110097403859243,0.10763096919308,0.0790045755250218,0.0589105212608278,0.00346799677771836,-0.029962039231283,0.0109259775191264,0.0319888652257584,0.0144464590902946,0.0169661816572306,-0.0898009644485411,-0.105966438601292,0.110933220555085,-0.0922793212576027,0.0107417371443999,0.0365098080775339,0.0416445179294918,-0.0326980819580384
