"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4"
"asc_ruta2",-36.3674163703316,2.7315587055768,20.2004209492882,18.2064988014706,-9.62205851910735,15.5146680634996,4.58060369848271,4.6329303910768,175.43173834095,166.064339732094,8.04435216140477,2.30690502093794,1.22582475850107,3.81742703069863,6.71774946977195,10.6246501743709,5.12193584035385,2.0176088351459e-15,2.02574215126967e-15,-1.03096594326896e-11,-9.45146985164159e-09,2.39182670142442e-10,-2.36827476500919e-11,2.75701047882201e-09,-1.03942251631192e-11,-2.13961082784134e-08,7.19742346850653e-10,-9.51535515777583e-08,-3.1551077628673e-13,-8.66967988229091e-10,-1.65062602681689e-10,-8.71752536662182e-13,3.1131241842829e-11,-1.71094179388583e-13,-1.27528809896441e-09,4.60968737004863e-09,-4.73183275307416e-10,-2.41028785334376e-13,-2.20075306587216e-10,-4.27518101012987e-08,-3.13700176211138e-10,-3.58097913920925e-13,1.43778791379105e-11,-5.58751259056948e-12,-1.54668605965131e-13,9.09816490224193e-12,-6.285410805489e-11,-8.87066969365066e-10,1.1240195441569e-10,-1.39205468288958e-09,-6.9390198090357e-13,-8.00765785247713e-10,-6.22546696860138e-10,-4.18854890769881e-10,-2.54313173889505e-10,-2.07077741197823e-13,-4.39859788803872e-15,3.92772234489611e-14,2.35437771571303e-14,4.25585526158948e-11,-3.81256518347828e-09,-4.68996817544527e-09,-1.10565476045518e-12
"asc_ruta3",2.7315587055768,-19.5760557431497,10.0798753212175,-14.9335089954458,-4.09213782182902,7.82877004351371,0.81387704996446,2.19397077355151,87.6471091023815,83.6958207178565,4.04235867932849,1.17373580591277,0.648610363775872,1.94748846370298,3.3281984498749,5.33326706540029,2.60473939972498,-2.96364441306516e-15,-2.97548826053996e-15,2.145734944027e-10,-6.23972821213363e-09,3.19911152242668e-10,4.8681354820295e-10,3.30767342968593e-09,1.36695610034087e-09,-1.28665204910148e-08,-2.6687750563262e-09,-5.72135765219443e-08,1.4034585408505e-11,-5.72359003113399e-10,-1.00043774344019e-10,-5.77628313581772e-13,2.05511641751955e-11,-1.12840953512378e-13,-8.41926049159853e-10,6.2333000726115e-09,-1.30693402380817e-10,2.10247077821874e-11,-1.39080504589872e-10,-2.82241051941579e-08,-2.07101013755783e-10,-6.02069857263172e-15,-1.00153060800619e-10,2.33517983452894e-10,-1.01849305003896e-13,5.91116838017618e-12,3.63858833264592e-12,-5.8563051846444e-10,-7.82934530851347e-10,-8.80777664597687e-10,-1.80556531954031e-10,-5.28652270729301e-10,-3.74319934376112e-10,-2.76522874043117e-10,-1.52912031215384e-10,-1.24373174898325e-13,-2.65043718894641e-15,-1.40275798032004e-13,1.55642694499831e-14,5.71027752908803e-11,-2.29238499954975e-09,-3.09624085752039e-09,-2.62890043449807e-10
"asc_rutaEC",20.2004209492882,10.0798753212175,-80.3215681867364,-162.759448970045,29.9043642749091,57.7442074348436,-15.6062763006671,17.7648626472418,672.26810449398,623.59408217442,29.5507068028791,8.15840949753752,4.49775776542202,13.2724083205914,25.7692853759578,39.5012268151869,18.7352226197823,-6.96028385458182e-16,-6.98821764513125e-16,-4.21529647264544e-11,-3.86203250831288e-08,-1.22400085693077e-08,-3.79613756389811e-08,2.33569788554358e-09,-5.15137799084187e-08,-1.90071573126174e-07,-1.64570612093759e-08,-3.88271958387223e-07,-1.28682821806949e-12,-3.54021143703403e-09,-6.7447412410726e-10,-2.78674367801899e-09,-1.99507704113562e-12,-7.04452369453585e-13,-5.20440368658091e-09,1.91384362693533e-08,-9.661754552279e-10,3.82261462342788e-14,-8.9866244588771e-10,-1.9003761036615e-07,-2.79453663414092e-09,-1.46496841333317e-12,-7.40232188009072e-10,-4.57155762023027e-15,2.96147586171837e-14,-5.62241611292949e-13,2.25205920449315e-11,-7.23553230628506e-09,-5.78665357635903e-09,-5.68816980300679e-09,-1.11754280483572e-09,-3.26987874289571e-09,-2.54383299049942e-09,-1.86164947710156e-09,-1.13045108900407e-09,-8.44862099152052e-13,-9.24833402100448e-15,-9.51901696796071e-13,4.77642616816512e-14,1.76711387478209e-10,-1.55788089531947e-08,-1.91506311917057e-08,-1.77213351201026e-09
"b_time",18.2064988014706,-14.9335089954458,-162.759448970045,-3577.87099260264,-345.832532403132,188.49575755301,-394.979987900598,75.4900372501935,2325.24301242226,2059.46911146954,89.159899851596,23.0500780208768,9.88090138676366,25.3941079381799,91.2832180570207,135.906645872739,41.0285444072255,-3.84903944843652e-14,-3.86447561194585e-14,-1.05223188108894e-10,-9.28250172018584e-08,-5.63025149324584e-08,-1.90497534758122e-07,-5.31356486063155e-07,-2.37121379801205e-07,-4.38118900453287e-07,-8.24590050984943e-08,-1.94842338772553e-06,4.42834100645251e-10,-1.85253198275552e-08,-3.10733710719885e-09,-1.39665409588706e-08,6.38330749185108e-10,-3.53331473426864e-12,-2.61166061136747e-08,9.60436977816536e-08,-4.45078354980504e-09,3.29180048739557e-10,-4.31679988653908e-09,-8.75412659434279e-07,-6.44149242540876e-09,-7.31559764265651e-12,-3.410316279139e-09,5.81220962018955e-13,1.53908631870893e-13,-2.31142112152301e-09,-1.83191603971826e-12,-1.81662313016443e-08,-2.66596260611227e-08,-2.73567853210591e-08,-5.60087643252499e-09,-8.55529750754381e-09,-1.16262905842192e-08,7.53528237867438e-10,-5.20749267449373e-09,-4.23971263740347e-12,-6.67684602492031e-14,-4.76898238712382e-12,2.41584530158434e-13,1.78774278782607e-09,-7.81771379930891e-08,-4.80507286340249e-08,-8.88153985426444e-09
"b_dist",-9.62205851910735,-4.09213782182902,29.9043642749091,-345.832532403132,-198.397093591285,-20.1064841436993,-40.111540879339,-1.97442716524125,-221.23299484919,-208.044805801587,-12.4546283394345,-1.48307621165813,-0.47349542369632,-8.99970538795037,-6.28321053456667,-12.6668006061677,-9.09869248210656,-1.2196242518018e-11,2.34380140777206e-15,-2.77421087082631e-08,-6.50239092266893e-08,-3.94641011509867e-08,-1.27743672967023e-07,-3.72351635070074e-07,-1.66520106768797e-07,-2.93790695390531e-07,-6.04361827884402e-08,-1.30748648891154e-06,-1.66193806621766e-09,-5.96055288747689e-09,-2.1767405144682e-09,-9.36565933399068e-09,-2.43927174567287e-09,-2.47133530571037e-12,-8.76782840514765e-09,-3.3435965575189e-07,-3.11986851204233e-09,1.08648866468919e-10,-1.44838288625292e-09,-6.13672487674202e-07,-4.51222192209319e-09,-3.74866789417654e-09,-2.28687654897592e-09,-3.0153586005862e-08,-1.7347303875557e-09,-1.48654524316219e-09,-9.01556500378759e-10,-1.16829096239424e-08,-1.86750022889283e-08,-9.17855382730365e-09,-3.75584870106444e-09,-5.50540144579854e-09,-8.56023217702588e-09,-2.87970082004159e-09,-3.650491411485e-09,-2.84335518093333e-12,-4.64988189046308e-12,-3.20172812424726e-12,1.62804514138048e-13,-6.77019333708558e-09,-5.24241892175903e-08,-3.22442656298725e-08,-2.7377289376139e-09
"b_clima",15.5146680634996,7.82877004351371,57.7442074348436,188.49575755301,-20.1064841436993,-102.780275909693,10.5143764449199,-28.8704383609716,-1083.1631440909,-1009.53619039252,-50.201439430309,-13.595499932222,-7.31377073085906,-22.6734156168258,-40.9813947267516,-62.1884233467391,-30.898337524532,-1.60470495714449e-15,-1.61113842542394e-15,-3.45852732989811e-11,-3.1731323949707e-08,8.15831183914154e-10,-3.96601100211994e-11,9.10626517401801e-09,3.41946909588481e-09,-7.81340834995111e-08,2.36156795706068e-09,-3.47520616361498e-07,-1.05748042128725e-12,-3.03506670804894e-09,-5.08760490581477e-10,-5.85806343663021e-12,1.04514099824439e-10,4.6918377472413e-14,-4.27603877920411e-09,-2.48179566198346e-10,-1.58759186191693e-09,5.30550944887945e-11,-7.07275228081783e-10,1.28094547160086e-08,-1.05465329126927e-09,-1.20379742329571e-12,4.90480791892487e-11,5.39274692410017e-14,2.41438262680587e-14,-4.62103018989298e-13,-2.29529663160733e-10,-2.97433399954836e-09,3.8344293922649e-10,-4.47908575727787e-09,-2.33127540457194e-12,-1.40254875920236e-09,-2.09007041507318e-09,-1.40425971536579e-09,7.61940336037684e-11,-7.56178188848502e-13,-1.34213627865797e-14,6.06780939426879e-14,4.0292284500047e-14,1.45189617647529e-10,-1.27998999194064e-08,-7.16421875160082e-09,-1.85313541878416e-12
"b_cong",4.58060369848271,0.81387704996446,-15.6062763006671,-394.979987900598,-40.111540879339,10.5143764449199,-233.802254996768,8.69740493920454,193.828692947261,130.750630887903,1.3125105525243,1.26762838304413,-2.17987542535585,-0.232852097767863,5.82655980588705,6.58663852379299,7.4422206564065,-2.07027999457866e-15,-2.07857718155304e-15,-7.24717468086287e-11,-6.39952559882633e-08,6.90499926725077e-09,1.05927036085168e-08,7.26135950239878e-08,1.45648502641254e-08,-3.0204417213561e-07,1.00597620956481e-08,1.1816862279519e-07,3.71335803242805e-09,-5.86197322577578e-09,-2.86930102693412e-12,-1.23387294890569e-11,4.47068090326421e-10,2.13839528095421e-13,-1.80052655036539e-08,6.62154557525223e-08,-3.07273535622599e-09,2.23402255689329e-10,-1.48805136065939e-09,5.30947892213973e-08,-4.43469009768571e-09,-1.02287116166881e-13,2.06539664220875e-10,5.00067984967661e-09,1.0935168114927e-13,1.30661576796293e-10,-8.87309801058605e-10,-1.25401640789161e-08,3.25473867015147e-09,-9.83948285607556e-09,-9.81550674624688e-12,-5.42189801074892e-09,7.73109159054601e-10,-5.91293862106727e-09,6.36644464894746e-10,2.56669465223182e-13,-3.33842301246015e-14,5.59411423709539e-13,3.32940024756161e-13,6.11388146458072e-10,4.81014984076052e-09,-3.01667390671263e-08,4.93868847990997e-10
"b_Hvalle",4.6329303910768,2.19397077355151,17.7648626472418,75.4900372501935,-1.97442716524125,-28.8704383609716,8.69740493920454,-24.5917638132425,-334.472852449298,-313.47906421769,-13.6096251076692,-3.36863243533113,-2.64761128717118,-6.02206125004586,-12.2656111893038,-19.9918149448414,-8.67577041979419,-3.40416703398193e-16,-3.41781221787279e-16,2.36339055594224e-09,-3.29175796334742e-08,1.80166569494066e-09,5.53484982521114e-09,2.10508467659118e-08,7.62612751078984e-09,1.38649724364754e-08,5.11857843588269e-09,-6.90952190559925e-07,1.54582035589937e-10,-6.29999689915806e-09,-1.19872880192983e-09,-6.34638265936441e-12,2.26357999480861e-10,1.1458911421147e-13,7.46938154273284e-10,3.45985977994856e-08,-1.57833550649327e-09,1.16735819864215e-10,-1.59922140363856e-09,1.27792425320345e-12,2.03822142351208e-10,-5.9956283764922e-14,1.07925253786971e-10,2.6129324504022e-09,5.24924019595389e-14,6.72092787067774e-11,4.07130974656493e-11,5.19569664305866e-10,8.43687024573905e-10,-1.01094477071742e-08,1.57667076415789e-10,-2.78501336139409e-09,4.03961847238232e-10,2.6722074509064e-10,1.65029816502431e-10,-1.5018815115726e-12,-2.75194329405499e-14,2.85344939916358e-13,1.72391201842748e-13,3.19460473203366e-10,-2.76846125791237e-08,3.04545431606759e-09,2.54022189135465e-10
"b_T_prof",175.43173834095,87.6471091023815,672.26810449398,2325.24301242226,-221.23299484919,-1083.1631440909,193.828692947261,-334.472852449298,-19370.0824931782,-11801.5756438579,-589.20753127679,-157.476606660509,-23.6977701577128,-185.621168847651,-548.916124415007,-738.547116254481,-313.437932218564,1.94299407056445e-14,1.95078239767842e-14,-7.69103511663371e-10,-3.67662634966103e-07,-2.05029556084247e-07,-1.7724776637208e-09,1.98682149251302e-07,-2.33569788554358e-09,-1.73753009192527e-06,-3.30249941538251e-07,-7.73804198875691e-06,-4.86844984864535e-11,-3.37681547623989e-08,-1.23234365487796e-08,-1.30270616787961e-10,2.32099351316045e-09,-1.27293167188616e-11,-2.43156941182847e-10,-1.1069253749116e-08,-1.76757850499167e-08,-3.67385222772787e-11,-8.56100797974285e-09,-3.18773867149243e-06,2.05726166360324e-09,-2.67255706101798e-11,-1.3524861677282e-08,-8.37233089578263e-10,-2.35968422931898e-11,-1.02595603970085e-11,-1.32177655064511e-11,-6.61430084603124e-08,-9.70776680128183e-08,-1.03796307621992e-07,-2.0392717406833e-08,-3.11896516320847e-08,-5.062626012421e-08,2.69649875456686e-09,-1.89889050367958e-08,-1.68160652950945e-11,-2.92337582712727e-13,-1.73760406416102e-11,8.6798998323964e-13,3.17325699262209e-09,-3.10042756770587e-07,-1.75216433272621e-07,-8.24822340957749e-11
"b_Hor_trab",166.064339732094,83.6958207178565,623.59408217442,2059.46911146954,-208.044805801587,-1009.53619039252,130.750630887903,-313.47906421769,-11801.5756438579,-11185.6525915281,-524.246959598826,-135.720435150692,-74.8352741031011,-235.519121616648,-453.54450030328,-693.64477637416,-324.227464467082,1.39735736083047e-14,1.40295730532323e-14,-1.73167915415925e-07,-4.42994882741024e-07,-2.68861185759306e-07,-8.34084634782817e-07,-2.54975424872504e-06,-5.4257670565257e-07,-2.09083026718526e-06,-4.27994463178847e-07,-4.45367693409646e-06,1.04278225232975e-12,-4.06079552078082e-08,-7.72662828714168e-09,-3.18836373550601e-08,-2.28095148919486e-11,-8.0194334418232e-12,-5.96969352247866e-08,2.23023392258284e-07,-2.12550313650345e-08,7.52446915181037e-10,-1.03081179313694e-08,-2.17981160977726e-06,-3.20342349260795e-08,-1.27700226350126e-08,-1.62751908773546e-08,1.68430253222518e-08,3.4206147614578e-13,4.26446151759736e-10,-2.94190011543646e-09,-8.29952570821709e-08,-6.09379211494287e-08,-6.51625720759988e-08,-2.45396777654364e-08,-3.75071816989496e-08,-6.08804577250183e-08,-2.13540682970394e-08,-2.4870056458461e-08,-9.674885231583e-12,-1.58981117512292e-11,-2.27400743737928e-11,5.4858410583129e-13,-2.30774850356957e-08,-1.78446227001187e-07,-2.29482021005643e-07,-1.86380681595644e-08
